loan_id,age,income_annual,employment_years,loan_amount,loan_term_months,credit_score,debt_to_income_ratio,home_ownership,loan_purpose,num_prior_loans,has_collateral,education_level,defaulted
L0000028,25,55608.0,2.2,38662.0,36,577,0.087,rent,other,1,0,bachelor,1
L0000029,51,93070.0,8.7,24741.0,48,695,0.275,rent,car,1,1,bachelor,0
L0000030,52,45986.0,9.6,12113.0,60,700,0.151,mortgage,debt-consolidation,1,1,master,0
L0000031,59,19933.0,11.8,46551.0,36,632,0.086,own,home-improvement,2,0,bachelor,0
L0000032,46,81861.0,4.6,28999.0,24,630,0.159,mortgage,other,2,1,bachelor,0
L0000033,42,16040.0,8.8,25502.0,24,580,0.174,own,credit-card,0,0,high-school,1
L0000034,27,44565.0,2.1,28670.0,24,640,0.07,rent,credit-card,0,1,bachelor,1
L0000035,21,79450.0,1.5,54772.0,36,716,0.156,mortgage,debt-consolidation,1,0,bachelor,0
L0000036,24,78324.0,5.2,37070.0,24,636,0.408,mortgage,car,1,1,bachelor,0
L0000037,50,26455.0,9.4,14989.0,48,702,0.342,own,home-improvement,0,0,master,0
L0000038,44,83731.0,2.4,26712.0,36,725,0.161,mortgage,car,2,0,bachelor,0
L0000039,61,103510.0,7.4,7867.0,60,601,0.091,own,debt-consolidation,0,1,master,0
L0000040,65,75054.0,0.8,20258.0,48,838,0.214,mortgage,debt-consolidation,1,0,bachelor,0
L0000041,51,50069.0,4.7,21922.0,36,748,,rent,car,1,0,bachelor,1
L0000042,31,68927.0,0.3,10231.0,24,660,0.33,mortgage,debt-consolidation,0,1,high-school,0
L0000043,62,40097.0,1.2,52652.0,36,562,0.434,own,other,0,1,high-school,1
L0000044,62,90666.0,16.9,38225.0,36,613,0.092,mortgage,credit-card,1,0,bachelor,0
L0000045,21,110665.0,5.4,2950.0,48,821,0.172,own,debt-consolidation,2,0,bachelor,0
L0000046,58,46113.0,0.9,7828.0,36,716,0.059,mortgage,other,0,0,high-school,0
L0000047,31,79367.0,1.1,58594.0,24,647,0.06,mortgage,debt-consolidation,0,0,master,0
L0000048,33,88311.0,1.9,7730.0,36,653,0.076,rent,debt-consolidation,1,0,bachelor,0
L0000049,52,50364.0,2.3,41901.0,36,783,0.17,mortgage,other,1,0,bachelor,0
L0000050,42,19914.0,1.9,45885.0,36,715,0.18,mortgage,credit-card,0,0,master,0
L0000051,39,59673.0,3.5,53356.0,36,657,0.351,rent,other,2,0,bachelor,1
L0000052,41,15000.0,7.5,52392.0,36,570,0.188,mortgage,car,2,0,high-school,1
L0000053,30,115445.0,5.7,40738.0,36,672,0.355,rent,other,1,1,phd,0
L0000054,32,73209.0,7.5,40550.0,60,727,0.277,mortgage,credit-card,0,1,bachelor,0
L0000055,65,49701.0,4.7,29918.0,24,720,0.088,mortgage,credit-card,0,0,bachelor,0
L0000056,64,85531.0,6.2,5430.0,36,614,0.559,mortgage,debt-consolidation,0,1,high-school,1
L0000057,40,32768.0,8.4,36920.0,36,684,0.288,rent,debt-consolidation,2,0,high-school,1
L0000058,66,93119.0,6.0,23985.0,60,725,0.51,own,car,2,0,high-school,0
L0000059,62,61576.0,2.2,30649.0,12,786,0.34,rent,other,1,1,bachelor,0
L0000060,68,62076.0,2.2,39713.0,12,660,0.262,rent,home-improvement,3,0,bachelor,1
L0000061,68,45884.0,4.8,38167.0,60,812,0.484,mortgage,home-improvement,2,1,high-school,0
L0000062,54,48272.0,2.4,46546.0,24,721,0.391,mortgage,credit-card,2,0,bachelor,1
L0000063,22,70898.0,7.4,41692.0,36,646,0.09,own,home-improvement,3,1,bachelor,0
L0000064,61,36454.0,2.5,51155.0,36,615,0.247,mortgage,debt-consolidation,2,0,bachelor,1
L0000065,67,31194.0,6.7,58991.0,24,533,0.11,own,debt-consolidation,0,1,high-school,1
L0000066,69,88648.0,6.1,24052.0,60,616,0.16,rent,debt-consolidation,0,0,bachelor,0
L0000067,56,69101.0,7.4,31478.0,36,792,0.383,rent,debt-consolidation,3,1,bachelor,0
L0000068,69,35304.0,13.1,3260.0,36,655,0.299,mortgage,debt-consolidation,1,1,high-school,0
L0000069,59,57007.0,5.6,16768.0,12,572,0.268,own,home-improvement,5,0,phd,0
L0000070,34,55434.0,3.1,32059.0,36,628,0.289,rent,car,0,0,master,0
L0000071,30,39257.0,5.7,23571.0,24,689,0.203,own,debt-consolidation,1,1,bachelor,0
L0000072,49,59850.0,2.9,27326.0,60,662,0.207,rent,debt-consolidation,1,0,high-school,0
L0000073,29,53523.0,2.2,31974.0,36,713,,rent,other,1,1,high-school,0
L0000074,53,81402.0,0.8,49940.0,60,663,0.16,own,debt-consolidation,3,0,master,0
L0000075,44,65463.0,2.1,4547.0,36,645,0.036,rent,car,4,0,high-school,1
L0000076,47,42558.0,1.9,38254.0,36,682,0.478,rent,other,3,1,master,0
L0000077,28,42050.0,2.7,35529.0,12,607,0.447,mortgage,small-business,0,0,high-school,1
L0000078,36,65955.0,0.8,22747.0,12,698,0.388,rent,debt-consolidation,2,1,bachelor,1
L0000079,56,24145.0,7.2,45868.0,48,617,0.3,mortgage,car,1,0,bachelor,1
L0000080,54,32640.0,4.8,59511.0,12,673,0.635,mortgage,home-improvement,2,0,high-school,1
L0000081,65,49874.0,4.4,40476.0,60,708,0.301,mortgage,credit-card,1,1,phd,0
L0000082,60,51060.0,0.4,40903.0,60,660,0.114,rent,home-improvement,1,1,master,0
L0000083,67,84597.0,4.2,15616.0,24,684,0.16,rent,car,1,1,bachelor,1
L0000084,31,28669.0,14.2,52624.0,48,734,0.266,mortgage,home-improvement,1,0,bachelor,0
L0000085,35,44321.0,3.8,8519.0,48,635,0.388,rent,small-business,0,1,master,0
L0000086,46,53998.0,3.9,47322.0,24,804,0.29,mortgage,car,0,0,phd,0
L0000087,46,46855.0,10.1,53848.0,48,598,0.527,mortgage,debt-consolidation,2,0,master,0
L0000088,44,38719.0,5.3,43876.0,60,772,0.013,own,small-business,1,0,high-school,0
L0000089,30,40697.0,5.3,20259.0,36,716,0.232,own,small-business,1,0,bachelor,0
L0000090,32,60701.0,4.8,32514.0,48,719,0.049,rent,car,0,0,master,0
L0000091,37,47929.0,1.5,52235.0,24,757,0.107,mortgage,credit-card,3,0,bachelor,0
L0000092,67,45713.0,1.4,6295.0,36,687,0.146,rent,car,2,1,bachelor,0
L0000093,34,31883.0,4.3,16374.0,36,700,0.353,own,debt-consolidation,1,0,bachelor,0
L0000094,48,151625.0,4.1,14277.0,24,692,0.312,rent,small-business,3,1,master,0
L0000095,46,57858.0,5.3,38868.0,60,747,0.243,rent,debt-consolidation,1,1,phd,0
L0000096,40,110157.0,8.1,8260.0,60,759,0.37,rent,debt-consolidation,1,0,master,0
L0000097,33,47746.0,9.6,17618.0,60,687,,own,car,0,0,high-school,0
L0000098,46,57230.0,10.6,51254.0,36,663,0.202,mortgage,credit-card,3,1,bachelor,1
L0000099,21,68104.0,2.1,37867.0,24,615,0.211,mortgage,home-improvement,1,0,master,1
L0000100,66,51301.0,15.6,32683.0,48,701,0.151,own,home-improvement,1,0,bachelor,0
L0000101,34,57211.0,1.1,7794.0,48,654,0.243,rent,home-improvement,1,0,high-school,0
L0000102,59,60273.0,8.1,11258.0,60,563,0.338,own,credit-card,1,0,bachelor,0
L0000103,27,49159.0,8.8,8431.0,60,679,0.18,rent,small-business,0,0,bachelor,0
L0000104,59,51794.0,2.2,13203.0,24,691,0.162,rent,debt-consolidation,1,0,high-school,0
L0000105,22,86292.0,5.4,15645.0,36,744,0.237,own,small-business,1,1,bachelor,0
L0000106,41,35016.0,6.1,27008.0,36,686,0.15,mortgage,debt-consolidation,1,1,high-school,0
L0000107,44,118790.0,3.8,21220.0,60,615,0.153,rent,debt-consolidation,0,0,high-school,1
L0000108,67,70485.0,4.0,3812.0,36,759,0.551,mortgage,debt-consolidation,1,1,bachelor,0
L0000109,52,47627.0,4.1,49807.0,12,542,0.15,rent,credit-card,2,1,high-school,0
L0000110,52,81635.0,,49863.0,36,579,0.245,mortgage,credit-card,2,1,high-school,1
L0000111,65,79265.0,8.7,23505.0,24,668,0.342,own,small-business,2,1,bachelor,0
L0000112,63,62982.0,3.9,54145.0,12,664,0.151,rent,credit-card,2,0,high-school,1
L0000113,31,51855.0,3.4,58132.0,60,669,0.224,mortgage,small-business,1,1,high-school,1
L0000114,40,26154.0,2.1,24024.0,48,627,0.37,rent,debt-consolidation,2,0,bachelor,1
L0000115,24,39811.0,8.0,41065.0,24,751,0.234,own,debt-consolidation,3,0,high-school,0
L0000116,57,56269.0,7.7,51833.0,36,671,0.337,rent,other,0,0,bachelor,0
L0000117,56,67900.0,4.1,47546.0,24,588,0.39,rent,debt-consolidation,0,0,master,1
L0000118,23,56381.0,1.3,15615.0,48,710,0.471,own,credit-card,0,0,bachelor,0
L0000119,46,65817.0,7.8,34230.0,48,629,0.184,own,credit-card,0,1,high-school,0
L0000120,63,48905.0,9.8,26804.0,24,617,0.116,mortgage,car,0,0,bachelor,0
L0000121,65,72910.0,3.8,18540.0,12,677,0.298,mortgage,small-business,0,0,high-school,1
L0000122,37,144878.0,9.6,38576.0,48,796,0.46,own,debt-consolidation,0,1,high-school,0
L0000123,43,58921.0,0.4,2466.0,60,531,0.255,mortgage,car,0,0,master,1
L0000124,36,51677.0,6.5,11484.0,60,568,0.114,own,debt-consolidation,3,0,high-school,0
L0000125,63,54522.0,6.3,7875.0,24,619,0.34,own,other,1,0,bachelor,0
L0000126,35,78865.0,6.0,59653.0,36,799,0.091,mortgage,car,1,0,bachelor,0
L0000127,24,53775.0,8.8,10976.0,24,604,0.252,rent,debt-consolidation,0,1,bachelor,0
L0000128,60,78305.0,11.5,50203.0,60,754,0.242,rent,credit-card,1,0,bachelor,0
L0000129,69,82753.0,4.5,52058.0,36,742,0.493,own,car,1,0,high-school,0
L0000130,28,122357.0,12.4,31159.0,60,759,0.048,mortgage,small-business,3,0,bachelor,0
L0000131,41,67395.0,10.9,5163.0,36,617,0.379,rent,home-improvement,2,1,high-school,1
L0000132,58,57503.0,2.1,46123.0,12,688,0.37,mortgage,other,1,0,master,0
L0000133,63,64178.0,2.2,36418.0,36,730,0.354,own,debt-consolidation,0,0,bachelor,0
L0000134,22,54824.0,3.6,39220.0,60,709,0.187,rent,car,0,0,bachelor,1
L0000135,22,59658.0,0.6,34413.0,60,850,0.216,rent,car,0,0,phd,0
L0000136,66,101972.0,3.4,21366.0,36,815,0.559,rent,debt-consolidation,0,0,master,0
L0000137,30,44457.0,2.0,59601.0,36,764,0.556,mortgage,debt-consolidation,0,0,bachelor,1
L0000138,23,30476.0,3.3,42141.0,24,732,0.404,rent,car,4,0,bachelor,1
L0000139,49,58351.0,16.2,43144.0,24,738,0.38,rent,home-improvement,1,0,high-school,0
L0000140,35,59851.0,2.5,33933.0,24,760,0.285,rent,debt-consolidation,2,0,master,0
L0000141,21,85769.0,2.4,5443.0,36,808,0.191,own,other,0,0,phd,0
L0000142,43,51251.0,2.3,36072.0,48,629,0.219,mortgage,credit-card,1,1,bachelor,0
L0000143,48,44797.0,7.7,29621.0,24,768,0.32,mortgage,debt-consolidation,0,0,bachelor,0
L0000144,52,41639.0,1.0,26130.0,60,704,0.183,rent,small-business,1,0,master,0
L0000145,34,41359.0,4.0,29003.0,36,759,0.293,own,credit-card,0,1,high-school,0
L0000146,69,37589.0,6.8,51443.0,36,692,0.283,rent,car,2,1,bachelor,0
L0000147,46,31916.0,6.9,52060.0,36,655,0.341,rent,home-improvement,0,1,high-school,1
L0000148,24,20432.0,3.5,52248.0,48,656,0.309,mortgage,debt-consolidation,0,0,high-school,1
L0000149,57,79132.0,0.6,34969.0,60,695,0.115,own,debt-consolidation,0,0,bachelor,0
L0000150,40,59716.0,5.4,45371.0,48,724,0.196,own,home-improvement,6,0,high-school,0
L0000151,51,140549.0,1.7,17570.0,36,658,0.311,mortgage,car,2,0,bachelor,0
L0000152,54,28117.0,6.7,10979.0,60,585,0.143,mortgage,home-improvement,2,0,bachelor,0
L0000153,57,131485.0,4.0,38568.0,36,734,0.222,mortgage,small-business,1,1,bachelor,0
L0000154,29,50838.0,5.1,54396.0,12,679,0.285,mortgage,debt-consolidation,2,0,bachelor,0
L0000155,38,26636.0,9.3,41161.0,24,542,0.066,mortgage,credit-card,0,0,bachelor,1
L0000156,68,22024.0,3.3,55673.0,60,575,0.139,rent,car,2,0,bachelor,1
L0000157,56,42758.0,12.4,27498.0,60,707,0.468,own,small-business,2,0,bachelor,0
L0000158,22,81675.0,3.9,26145.0,60,733,0.27,rent,debt-consolidation,0,1,phd,0
L0000159,47,61299.0,1.8,53013.0,48,766,0.075,rent,debt-consolidation,1,1,bachelor,0
L0000160,58,46039.0,3.1,35078.0,48,652,0.435,own,home-improvement,1,1,bachelor,0
L0000161,45,90464.0,1.1,15778.0,48,643,0.231,rent,debt-consolidation,0,0,bachelor,0
L0000162,57,57310.0,2.2,4034.0,36,726,0.544,mortgage,debt-consolidation,2,1,high-school,0
L0000163,51,26666.0,4.6,17014.0,36,628,0.199,rent,credit-card,0,1,bachelor,0
L0000164,61,96965.0,4.5,2273.0,60,630,0.273,mortgage,debt-consolidation,0,0,high-school,0
L0000165,45,33966.0,,59267.0,12,701,0.179,mortgage,debt-consolidation,0,0,bachelor,0
L0000166,68,33596.0,6.4,11156.0,36,707,0.05,rent,debt-consolidation,1,1,high-school,0
L0000167,42,49165.0,11.5,11326.0,36,726,0.346,rent,debt-consolidation,2,0,bachelor,0
L0000168,53,63056.0,1.2,43891.0,36,696,0.517,mortgage,credit-card,0,1,master,1
L0000169,36,40589.0,8.6,56854.0,60,618,0.211,rent,home-improvement,2,1,bachelor,0
L0000170,59,24548.0,1.0,11671.0,48,663,0.145,mortgage,debt-consolidation,0,0,high-school,0
L0000171,50,41267.0,4.8,14759.0,36,693,0.303,mortgage,debt-consolidation,1,0,bachelor,0
L0000172,26,84668.0,1.7,22150.0,48,776,0.139,rent,home-improvement,1,0,bachelor,0
L0000173,35,54121.0,7.3,30573.0,36,736,0.075,mortgage,credit-card,1,0,bachelor,0
L0000174,50,89614.0,6.2,6474.0,24,700,0.158,own,debt-consolidation,0,0,high-school,1
L0000175,21,68450.0,5.3,4497.0,36,733,0.186,mortgage,debt-consolidation,1,1,phd,0
L0000176,66,42312.0,6.3,2161.0,24,778,0.475,rent,car,1,0,high-school,1
L0000177,24,39222.0,0.5,59776.0,36,597,0.051,rent,debt-consolidation,0,0,high-school,1
L0000178,26,59057.0,1.9,39782.0,36,690,0.143,own,credit-card,3,0,master,0
L0000179,64,59197.0,1.6,54252.0,48,574,0.436,mortgage,debt-consolidation,2,1,high-school,1
L0000180,30,57079.0,9.0,46610.0,24,689,0.158,mortgage,credit-card,2,1,high-school,0
L0000181,62,59426.0,2.6,54560.0,36,655,0.426,rent,debt-consolidation,2,0,high-school,1
L0000182,37,50921.0,7.1,25193.0,36,783,0.506,rent,debt-consolidation,2,0,high-school,0
L0000183,67,51366.0,6.9,48841.0,24,769,0.068,rent,home-improvement,2,1,bachelor,0
L0000184,35,37532.0,4.3,58526.0,48,832,0.446,rent,debt-consolidation,0,0,master,1
L0000185,42,33649.0,0.4,31849.0,48,670,0.273,mortgage,other,1,0,high-school,0
L0000186,64,75775.0,1.2,48891.0,36,707,0.165,mortgage,home-improvement,1,1,bachelor,0
L0000187,34,34684.0,2.9,57874.0,24,686,0.081,rent,debt-consolidation,1,0,high-school,1
L0000188,34,23288.0,2.6,44607.0,48,782,0.367,mortgage,credit-card,3,1,bachelor,0
L0000189,69,46343.0,6.6,2621.0,48,688,0.143,rent,credit-card,1,0,master,0
L0000190,28,61323.0,4.0,48371.0,48,623,0.261,mortgage,debt-consolidation,0,1,bachelor,0
L0000191,50,50216.0,3.5,8261.0,60,570,0.309,mortgage,debt-consolidation,2,1,bachelor,0
L0000192,39,31637.0,3.9,56770.0,48,778,0.444,own,home-improvement,0,0,bachelor,1
L0000193,65,89005.0,5.8,52756.0,60,713,0.316,mortgage,debt-consolidation,2,0,bachelor,1
L0000194,47,60137.0,3.2,20709.0,48,703,0.468,mortgage,credit-card,0,0,bachelor,1
L0000195,38,91174.0,8.4,38800.0,48,797,,own,debt-consolidation,1,0,high-school,0
L0000196,37,53091.0,3.0,58264.0,48,700,0.344,own,debt-consolidation,2,1,bachelor,0
L0000197,58,67568.0,14.2,21007.0,60,586,0.098,own,debt-consolidation,1,0,high-school,0
L0000198,26,32470.0,2.8,45628.0,36,602,0.146,mortgage,home-improvement,5,0,high-school,0
L0000199,59,15000.0,3.1,20954.0,36,732,0.174,rent,other,1,0,high-school,0
L0000200,25,55038.0,1.7,31558.0,60,740,0.297,own,debt-consolidation,3,0,high-school,0
L0000201,53,29678.0,4.3,56450.0,60,846,0.416,mortgage,debt-consolidation,2,1,high-school,0
L0000202,39,80078.0,3.3,28781.0,60,695,0.071,mortgage,other,1,1,bachelor,0
L0000203,32,82186.0,2.4,3111.0,36,823,0.152,rent,small-business,1,1,bachelor,0
L0000204,33,62320.0,1.7,31403.0,36,614,0.053,mortgage,debt-consolidation,2,0,bachelor,0
L0000205,61,37126.0,0.6,20647.0,36,641,0.277,mortgage,car,1,0,high-school,1
L0000206,63,53930.0,7.7,51607.0,24,616,0.426,own,debt-consolidation,2,1,bachelor,0
L0000207,43,69503.0,2.2,48688.0,24,709,0.437,mortgage,debt-consolidation,3,1,high-school,0
L0000208,21,65029.0,3.1,46843.0,12,778,0.306,rent,car,1,0,bachelor,0
L0000209,57,35861.0,4.1,42455.0,24,682,0.229,rent,debt-consolidation,2,0,bachelor,0
L0000210,26,23168.0,1.1,59229.0,36,628,0.407,rent,debt-consolidation,2,0,master,0
L0000211,47,64196.0,8.1,18580.0,60,738,0.115,mortgage,debt-consolidation,1,0,bachelor,0
L0000212,64,53701.0,0.5,6932.0,36,685,0.287,mortgage,debt-consolidation,1,0,high-school,0
L0000213,26,70077.0,10.2,42208.0,36,739,0.082,rent,home-improvement,2,0,bachelor,1
L0000214,37,53695.0,8.0,38882.0,36,688,0.474,mortgage,other,1,1,bachelor,0
L0000215,42,50409.0,6.7,23311.0,12,688,0.072,mortgage,car,0,1,bachelor,0
L0000216,29,49989.0,7.3,3118.0,36,836,0.611,own,car,2,0,bachelor,0
L0000217,39,46982.0,3.7,23457.0,36,620,0.179,mortgage,home-improvement,0,1,bachelor,1
L0000218,38,159538.0,10.9,11720.0,36,723,0.165,rent,debt-consolidation,1,0,bachelor,0
L0000219,66,48759.0,9.4,10761.0,36,744,0.573,rent,home-improvement,3,0,master,0
L0000220,24,46796.0,6.6,53113.0,24,768,0.181,own,debt-consolidation,1,0,high-school,0
L0000221,62,75038.0,0.2,31188.0,36,617,0.293,rent,home-improvement,0,0,master,0
L0000222,62,66344.0,4.6,31817.0,48,721,0.094,mortgage,home-improvement,2,0,bachelor,0
L0000223,36,56338.0,7.8,10328.0,48,660,0.133,mortgage,credit-card,2,0,master,0
L0000224,61,36822.0,4.3,56222.0,24,689,0.217,rent,home-improvement,1,0,bachelor,1
L0000225,50,30029.0,5.5,23525.0,24,663,0.346,mortgage,small-business,0,0,high-school,1
L0000226,67,52855.0,6.7,36076.0,24,657,0.1,mortgage,debt-consolidation,0,0,high-school,0
L0000227,42,49654.0,1.2,6566.0,24,802,0.595,rent,other,3,0,master,0
L0000228,34,43242.0,9.0,33125.0,36,764,0.468,mortgage,debt-consolidation,4,1,bachelor,0
L0000229,53,77581.0,11.1,6763.0,24,596,0.229,rent,debt-consolidation,0,0,phd,0
L0000230,42,82123.0,8.2,27684.0,36,674,0.323,rent,small-business,1,0,phd,1
L0000231,42,90976.0,7.5,52367.0,36,684,0.054,rent,credit-card,0,0,bachelor,0
L0000232,30,34149.0,5.0,4708.0,48,788,0.292,rent,home-improvement,4,0,bachelor,0
L0000233,40,86450.0,4.1,25072.0,60,611,0.446,own,home-improvement,1,0,high-school,0
L0000234,44,23096.0,1.9,16699.0,48,644,0.286,rent,home-improvement,0,0,high-school,0
L0000235,59,52843.0,21.9,13162.0,36,640,0.154,rent,home-improvement,1,0,bachelor,0
L0000236,63,79881.0,5.7,25151.0,48,554,0.218,rent,debt-consolidation,2,1,bachelor,1
L0000237,67,34094.0,2.4,55468.0,24,555,0.514,rent,other,2,0,bachelor,1
L0000238,32,29664.0,4.2,28918.0,48,709,,mortgage,debt-consolidation,1,0,master,0
L0000239,23,52888.0,7.3,37770.0,24,638,0.218,mortgage,credit-card,2,0,high-school,1
L0000240,36,113925.0,3.4,50557.0,36,706,0.492,rent,home-improvement,1,0,master,1
L0000241,22,116612.0,5.8,8806.0,36,578,0.14,own,debt-consolidation,0,0,master,0
L0000242,67,91900.0,3.2,21819.0,48,610,0.125,rent,credit-card,2,0,high-school,0
L0000243,46,34581.0,7.3,4334.0,60,660,0.252,rent,debt-consolidation,1,0,high-school,0
L0000244,54,54277.0,4.9,7455.0,60,586,0.214,mortgage,debt-consolidation,1,1,master,0
L0000245,56,148315.0,7.2,17853.0,48,668,0.381,own,credit-card,1,1,bachelor,0
L0000246,28,81342.0,2.3,37286.0,24,667,0.196,rent,car,0,1,bachelor,0
L0000247,65,27005.0,10.9,27422.0,60,661,0.107,mortgage,car,0,0,bachelor,0
L0000248,66,77844.0,2.8,13155.0,36,593,0.311,mortgage,debt-consolidation,3,0,high-school,0
L0000249,35,38930.0,5.5,4957.0,36,772,0.436,rent,small-business,2,0,phd,1
L0000250,49,47615.0,1.4,30208.0,36,605,0.737,own,debt-consolidation,2,0,bachelor,1
L0000251,44,75838.0,2.0,4172.0,48,677,0.385,mortgage,debt-consolidation,1,0,bachelor,0
L0000252,33,46044.0,2.2,12794.0,36,677,0.32,rent,small-business,0,1,high-school,1
L0000253,61,42916.0,5.7,5392.0,60,691,0.488,rent,car,1,0,high-school,1
L0000254,59,88098.0,4.0,35225.0,60,592,0.405,rent,credit-card,2,0,bachelor,0
L0000255,37,76106.0,3.0,10986.0,60,708,0.506,rent,debt-consolidation,1,0,master,0
L0000256,63,63004.0,2.5,23661.0,36,640,0.181,rent,debt-consolidation,3,1,high-school,0
L0000257,24,139959.0,11.2,14808.0,60,726,0.254,own,debt-consolidation,2,0,high-school,0
L0000258,34,59712.0,3.5,54113.0,36,752,0.243,mortgage,debt-consolidation,0,0,master,0
L0000259,62,62723.0,4.5,38892.0,24,692,0.182,mortgage,other,0,0,master,0
L0000260,47,47107.0,1.6,26334.0,12,649,0.209,mortgage,credit-card,3,0,master,0
L0000261,34,35110.0,5.8,49231.0,12,801,0.096,rent,credit-card,0,1,master,1
L0000262,53,28660.0,8.7,49478.0,12,718,0.401,mortgage,small-business,3,0,high-school,0
L0000263,69,79966.0,7.4,43294.0,48,634,0.127,own,small-business,0,0,bachelor,0
L0000264,37,44396.0,0.9,31550.0,24,609,0.262,rent,debt-consolidation,1,0,high-school,0
L0000265,33,173680.0,3.3,32148.0,60,716,0.253,mortgage,credit-card,0,0,bachelor,0
L0000266,27,36437.0,6.3,48903.0,24,666,0.176,rent,credit-card,1,0,master,1
L0000267,51,38586.0,6.1,10566.0,60,612,0.157,own,debt-consolidation,1,0,bachelor,0
L0000268,43,63023.0,0.6,34386.0,36,695,0.141,mortgage,debt-consolidation,1,1,high-school,0
L0000269,66,34192.0,1.4,55528.0,24,601,0.263,mortgage,other,2,1,bachelor,1
L0000270,28,27707.0,2.3,49964.0,24,695,0.311,rent,debt-consolidation,1,1,high-school,1
L0000271,33,73638.0,6.8,27416.0,24,708,0.212,mortgage,home-improvement,2,0,high-school,0
L0000272,61,20268.0,3.7,46822.0,24,630,0.125,mortgage,home-improvement,0,0,high-school,1
L0000273,41,59381.0,2.2,10669.0,48,713,,rent,credit-card,2,0,bachelor,0
L0000274,43,59947.0,7.5,54725.0,24,636,0.27,rent,debt-consolidation,3,0,high-school,0
L0000275,42,82515.0,6.2,31746.0,36,686,0.079,rent,car,0,0,high-school,0
L0000276,55,67379.0,6.5,48036.0,48,580,0.138,rent,debt-consolidation,1,0,master,0
L0000277,47,190224.0,2.9,32626.0,36,695,0.198,rent,debt-consolidation,1,0,bachelor,0
L0000278,25,45814.0,0.4,37559.0,48,763,0.058,mortgage,car,1,0,phd,0
L0000279,39,29850.0,4.3,24568.0,24,583,0.336,own,home-improvement,2,0,high-school,1
L0000280,52,187386.0,2.0,11600.0,48,740,0.115,rent,debt-consolidation,1,0,bachelor,0
L0000281,47,56780.0,9.6,32159.0,36,649,0.468,own,small-business,1,0,bachelor,1
L0000282,51,36592.0,5.4,59213.0,12,751,0.067,own,debt-consolidation,1,0,master,0
L0000283,51,26610.0,1.5,3746.0,48,810,0.174,mortgage,credit-card,3,0,master,0
L0000284,27,47062.0,1.6,22341.0,48,695,0.174,mortgage,other,2,0,high-school,1
L0000285,35,38160.0,2.5,7636.0,12,727,0.065,own,debt-consolidation,1,0,bachelor,0
L0000286,24,38314.0,14.5,41897.0,48,715,0.359,rent,small-business,2,0,bachelor,1
