customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,is_senior_citizen,avg_monthly_usage_gb,support_tickets_90d,churned
CUST000027,59,35.67,2096.04,two-year,bank-transfer,Fiber,yes,yes,0,16.0,3,0
CUST000028,39,78.21,2716.33,two-year,mailed-check,DSL,yes,yes,0,38.6,3,0
CUST000029,32,74.47,2126.31,one-year,credit-card,Fiber,no,no,0,76.4,2,0
CUST000030,32,54.59,1826.55,two-year,mailed-check,Fiber,no,no,0,74.3,1,0
CUST000031,17,69.43,1105.86,month-to-month,electronic-check,DSL,yes,no,0,50.7,0,1
CUST000032,7,54.44,337.78,one-year,mailed-check,Fiber,yes,yes,1,60.7,2,1
CUST000033,40,43.21,1583.72,month-to-month,electronic-check,DSL,no,no,0,99.0,1,1
CUST000034,64,61.16,3638.19,one-year,credit-card,Fiber,no,no,0,57.8,5,0
CUST000035,5,42.4,206.62,two-year,bank-transfer,Fiber,yes,no,0,83.6,3,0
CUST000036,61,78.07,4927.06,two-year,credit-card,DSL,yes,no,0,45.6,0,0
CUST000037,59,41.25,2548.91,month-to-month,credit-card,Fiber,yes,no,0,64.0,1,0
CUST000038,20,87.8,1721.48,one-year,credit-card,DSL,yes,no,0,15.1,2,0
CUST000039,45,40.46,1802.46,two-year,mailed-check,DSL,no,yes,0,47.7,3,0
CUST000040,12,55.84,612.7,two-year,electronic-check,Fiber,yes,no,0,68.4,0,0
CUST000041,54,54.38,2999.45,one-year,mailed-check,DSL,no,no,0,61.8,2,0
CUST000042,50,103.13,4607.64,month-to-month,credit-card,None,yes,no,1,45.5,2,0
CUST000043,26,78.26,1772.84,month-to-month,credit-card,Fiber,yes,yes,0,33.5,1,1
CUST000044,5,64.71,338.0,two-year,credit-card,DSL,no,yes,0,69.8,4,0
CUST000045,69,82.47,5820.33,one-year,electronic-check,None,no,yes,0,60.5,4,0
CUST000046,32,20.0,582.87,one-year,electronic-check,Fiber,yes,no,0,78.8,0,0
CUST000047,64,68.92,4344.87,one-year,credit-card,Fiber,yes,no,0,,0,0
CUST000048,49,119.94,5544.44,month-to-month,electronic-check,Fiber,no,yes,1,90.4,2,0
CUST000049,56,73.31,3754.87,month-to-month,bank-transfer,None,no,yes,0,30.1,0,1
CUST000050,54,71.7,3513.1,two-year,mailed-check,DSL,no,yes,0,22.8,1,0
CUST000051,14,83.7,1027.91,month-to-month,electronic-check,DSL,no,no,0,127.6,1,1
CUST000052,26,92.39,2305.73,one-year,bank-transfer,None,no,no,0,31.4,0,0
CUST000053,34,20.06,640.65,one-year,credit-card,DSL,no,yes,0,70.2,0,0
CUST000054,36,27.94,958.0,two-year,credit-card,Fiber,no,no,0,54.0,4,0
CUST000055,4,75.26,268.85,month-to-month,mailed-check,Fiber,no,no,0,129.3,2,1
CUST000056,39,52.13,2109.76,one-year,mailed-check,Fiber,no,no,0,92.4,2,0
CUST000057,11,102.8,1105.6,month-to-month,credit-card,Fiber,no,no,0,23.3,0,0
CUST000058,53,62.12,3390.87,month-to-month,bank-transfer,None,no,yes,0,150.8,1,1
CUST000059,49,21.64,924.48,month-to-month,mailed-check,DSL,yes,yes,0,110.9,2,0
CUST000060,66,38.3,2463.52,month-to-month,bank-transfer,Fiber,no,yes,0,50.0,0,0
CUST000061,53,20.0,1081.09,two-year,electronic-check,Fiber,yes,no,0,29.8,4,0
CUST000062,27,64.15,1586.88,two-year,electronic-check,DSL,no,no,0,73.1,0,1
CUST000063,69,65.29,4005.08,month-to-month,credit-card,None,yes,yes,0,75.5,2,0
CUST000064,30,59.39,1608.88,two-year,bank-transfer,Fiber,yes,no,0,17.1,0,0
CUST000065,24,96.97,2105.23,month-to-month,electronic-check,DSL,yes,no,0,70.0,0,1
CUST000066,65,99.96,6103.92,one-year,electronic-check,None,yes,no,0,105.8,2,0
CUST000067,27,65.74,1624.45,two-year,credit-card,None,yes,no,0,67.8,0,0
CUST000068,6,20.0,108.51,one-year,bank-transfer,DSL,yes,yes,0,61.4,1,1
CUST000069,34,85.43,2845.66,month-to-month,bank-transfer,Fiber,no,no,0,57.1,1,1
CUST000070,57,83.88,4114.7,month-to-month,electronic-check,DSL,no,no,0,38.2,1,0
CUST000071,14,77.73,999.07,month-to-month,credit-card,DSL,no,no,0,117.9,3,1
CUST000072,33,94.54,3082.23,two-year,credit-card,DSL,no,no,0,51.7,1,0
CUST000073,10,40.88,361.86,one-year,bank-transfer,None,yes,yes,0,73.0,0,0
CUST000074,49,120.22,5267.45,month-to-month,electronic-check,DSL,no,no,0,26.0,0,0
CUST000075,34,46.01,1392.47,month-to-month,bank-transfer,DSL,no,yes,1,60.1,0,0
CUST000076,24,88.73,1810.49,two-year,credit-card,Fiber,no,no,0,85.9,5,0
CUST000077,17,27.82,446.81,month-to-month,credit-card,Fiber,no,yes,0,51.0,1,0
CUST000078,41,46.74,1643.82,one-year,credit-card,DSL,no,yes,1,51.9,2,0
CUST000079,48,107.91,4685.48,one-year,bank-transfer,DSL,no,yes,0,63.9,3,0
CUST000080,67,63.48,4461.4,month-to-month,electronic-check,Fiber,no,no,1,83.9,1,1
CUST000081,32,91.0,3010.07,month-to-month,mailed-check,Fiber,no,no,0,69.7,1,0
CUST000082,12,75.92,813.57,month-to-month,credit-card,Fiber,yes,yes,0,181.6,0,0
CUST000083,60,67.38,3687.04,month-to-month,electronic-check,DSL,no,no,0,127.7,1,1
CUST000084,45,104.1,4416.27,one-year,electronic-check,Fiber,no,yes,0,45.1,2,0
CUST000085,50,64.08,3264.5,two-year,bank-transfer,Fiber,yes,no,0,114.3,2,0
CUST000086,7,25.48,180.24,month-to-month,mailed-check,DSL,no,yes,0,16.9,1,0
CUST000087,23,49.92,1004.93,month-to-month,credit-card,DSL,no,no,0,53.8,0,0
CUST000088,55,83.78,4031.4,month-to-month,electronic-check,Fiber,no,no,0,22.0,2,1
CUST000089,60,79.89,4473.9,month-to-month,electronic-check,DSL,yes,no,1,89.3,0,0
CUST000090,31,30.82,978.37,one-year,electronic-check,DSL,no,no,0,51.0,3,0
CUST000091,58,51.89,3089.13,one-year,bank-transfer,None,no,no,0,28.6,1,0
CUST000092,60,55.46,2899.91,one-year,credit-card,Fiber,yes,yes,0,100.0,4,0
CUST000093,28,60.86,1644.2,month-to-month,mailed-check,Fiber,no,yes,0,31.4,2,1
CUST000094,64,35.6,2007.58,one-year,mailed-check,DSL,no,yes,0,94.6,1,0
CUST000095,21,54.29,1125.53,month-to-month,electronic-check,Fiber,yes,no,0,74.4,1,1
CUST000096,18,51.78,963.06,two-year,bank-transfer,Fiber,no,no,0,56.9,1,0
CUST000097,49,89.29,4116.87,one-year,credit-card,None,yes,no,0,107.5,1,0
CUST000098,46,90.23,3596.96,two-year,credit-card,Fiber,no,no,0,35.5,2,0
CUST000099,10,66.35,640.84,month-to-month,electronic-check,Fiber,no,yes,0,18.9,4,1
CUST000100,60,60.2,3365.31,month-to-month,bank-transfer,DSL,yes,yes,1,30.1,1,0
CUST000101,15,73.5,1115.93,one-year,electronic-check,Fiber,no,no,0,180.3,0,1
CUST000102,58,49.59,2640.57,month-to-month,electronic-check,None,no,yes,0,38.5,1,0
CUST000103,1,41.33,42.36,one-year,electronic-check,Fiber,no,no,0,49.3,2,0
CUST000104,57,46.49,2397.5,month-to-month,electronic-check,Fiber,no,yes,0,143.7,1,1
CUST000105,56,54.13,2672.08,two-year,electronic-check,None,no,yes,0,49.3,1,0
CUST000106,56,40.91,2087.74,month-to-month,credit-card,None,no,yes,0,90.8,0,0
CUST000107,48,74.05,3046.06,two-year,electronic-check,DSL,yes,no,0,152.9,1,0
CUST000108,34,88.24,2718.89,month-to-month,credit-card,DSL,no,yes,0,82.5,0,0
CUST000109,51,30.32,1518.52,month-to-month,credit-card,Fiber,no,no,0,63.0,1,1
CUST000110,20,70.63,1240.91,month-to-month,bank-transfer,None,no,yes,0,101.8,3,1
CUST000111,56,64.5,3150.65,month-to-month,mailed-check,Fiber,no,no,0,12.7,2,0
CUST000112,40,78.54,2753.54,two-year,credit-card,DSL,no,no,0,48.9,3,0
CUST000113,33,69.68,1990.19,two-year,electronic-check,Fiber,no,no,0,128.9,3,0
CUST000114,36,33.66,1241.97,two-year,mailed-check,DSL,no,yes,0,38.8,0,0
CUST000115,41,38.44,1637.23,two-year,mailed-check,DSL,yes,yes,0,8.2,3,0
CUST000116,3,70.74,182.36,one-year,credit-card,DSL,no,no,0,69.5,1,1
CUST000117,10,95.72,959.13,month-to-month,credit-card,DSL,no,no,0,91.4,3,1
CUST000118,18,20.0,359.07,two-year,credit-card,Fiber,no,yes,0,53.0,0,0
CUST000119,9,78.64,742.71,month-to-month,bank-transfer,DSL,no,no,0,92.1,0,1
CUST000120,32,99.74,2934.99,two-year,bank-transfer,DSL,no,yes,1,74.7,1,0
CUST000121,48,66.17,2881.1,month-to-month,credit-card,Fiber,no,no,0,260.7,2,1
CUST000122,47,83.76,3702.94,one-year,credit-card,DSL,yes,no,1,102.9,2,1
CUST000123,34,52.42,1820.27,month-to-month,mailed-check,Fiber,no,yes,0,74.7,3,1
CUST000124,61,67.02,4070.72,month-to-month,credit-card,DSL,no,no,0,15.1,1,1
CUST000125,41,29.48,1141.39,month-to-month,credit-card,DSL,yes,no,0,40.9,1,0
CUST000126,6,20.0,107.87,month-to-month,bank-transfer,Fiber,no,no,0,31.8,2,1
CUST000127,55,93.57,5122.69,month-to-month,electronic-check,DSL,no,no,0,141.5,2,1
CUST000128,41,45.38,1899.48,month-to-month,electronic-check,DSL,yes,no,0,,2,0
CUST000129,46,58.61,2507.31,month-to-month,credit-card,DSL,no,no,0,52.4,0,0
CUST000130,41,35.34,1425.35,one-year,electronic-check,DSL,no,yes,0,79.9,1,0
CUST000131,40,34.75,1292.76,month-to-month,mailed-check,DSL,yes,no,0,45.8,1,1
CUST000132,7,65.65,434.6,two-year,bank-transfer,DSL,yes,yes,0,50.6,6,0
CUST000133,40,51.76,1977.19,month-to-month,credit-card,DSL,no,yes,0,74.7,1,1
CUST000134,57,79.45,4551.95,one-year,credit-card,DSL,no,no,1,38.8,0,0
CUST000135,22,81.31,1870.21,month-to-month,credit-card,None,no,yes,0,69.3,1,1
CUST000136,43,78.02,3149.79,month-to-month,mailed-check,DSL,yes,no,0,99.9,1,1
CUST000137,3,75.97,209.33,one-year,electronic-check,DSL,yes,no,0,42.7,1,0
CUST000138,25,109.44,2530.03,one-year,bank-transfer,Fiber,no,yes,0,,1,1
CUST000139,32,43.31,1215.14,month-to-month,electronic-check,DSL,no,yes,0,158.8,1,0
CUST000140,70,68.63,4368.79,month-to-month,bank-transfer,Fiber,no,no,1,160.1,1,1
CUST000141,16,98.32,1364.35,month-to-month,credit-card,DSL,yes,no,0,61.3,1,1
CUST000142,20,101.61,1901.28,month-to-month,bank-transfer,Fiber,no,no,0,68.1,5,1
CUST000143,30,34.46,913.33,month-to-month,bank-transfer,None,no,yes,0,67.7,0,1
CUST000144,71,62.19,4059.08,one-year,bank-transfer,DSL,no,no,0,48.6,0,0
CUST000145,61,103.95,6396.21,month-to-month,credit-card,DSL,yes,yes,0,60.4,2,0
CUST000146,3,82.7,223.09,one-year,mailed-check,Fiber,no,yes,1,15.3,2,0
CUST000147,17,74.88,1237.8,month-to-month,mailed-check,None,no,no,0,24.7,0,0
CUST000148,59,64.56,3924.21,month-to-month,electronic-check,Fiber,no,yes,0,50.8,1,1
CUST000149,5,60.4,290.94,month-to-month,bank-transfer,Fiber,yes,yes,0,43.0,1,1
CUST000150,61,77.21,4185.88,month-to-month,electronic-check,DSL,yes,yes,0,27.3,1,0
CUST000151,20,63.69,1170.56,month-to-month,bank-transfer,Fiber,no,no,0,60.2,1,1
CUST000152,66,68.94,4404.77,two-year,credit-card,DSL,yes,no,0,93.6,1,0
CUST000153,21,71.96,1437.6,one-year,electronic-check,Fiber,no,no,0,38.9,2,1
CUST000154,31,53.05,1446.75,month-to-month,bank-transfer,DSL,no,yes,0,,2,0
CUST000155,47,83.3,3677.69,month-to-month,electronic-check,Fiber,yes,no,0,74.7,1,0
CUST000156,9,142.86,1232.53,two-year,electronic-check,DSL,no,no,0,51.7,1,1
CUST000157,40,25.58,924.43,month-to-month,electronic-check,Fiber,no,yes,0,,1,0
CUST000158,36,78.1,2734.25,month-to-month,electronic-check,Fiber,yes,yes,0,23.2,2,1
CUST000159,56,51.0,2467.68,two-year,credit-card,Fiber,no,yes,1,30.0,1,0
CUST000160,71,84.44,5499.56,month-to-month,credit-card,None,no,no,0,49.8,3,0
CUST000161,48,71.16,3452.76,month-to-month,bank-transfer,Fiber,no,no,0,34.5,2,0
CUST000162,30,89.05,2409.31,month-to-month,bank-transfer,Fiber,yes,yes,1,120.9,3,1
CUST000163,29,99.39,2798.82,one-year,credit-card,DSL,no,yes,0,24.2,1,0
CUST000164,30,74.81,2091.7,month-to-month,credit-card,None,no,no,0,48.7,1,0
CUST000165,58,98.3,5207.04,one-year,bank-transfer,Fiber,yes,no,0,178.9,0,0
CUST000166,23,20.0,475.28,month-to-month,electronic-check,Fiber,no,yes,1,22.8,1,1
CUST000167,12,109.76,,month-to-month,bank-transfer,Fiber,no,yes,0,63.9,0,1
CUST000168,24,79.38,1709.53,month-to-month,credit-card,Fiber,no,no,0,52.3,3,1
CUST000169,2,96.95,200.08,two-year,electronic-check,Fiber,no,no,1,81.3,0,1
CUST000170,8,39.5,315.74,month-to-month,mailed-check,Fiber,no,no,0,76.5,2,1
CUST000171,7,49.23,339.91,one-year,mailed-check,Fiber,no,no,0,73.6,0,0
CUST000172,55,73.65,3483.27,month-to-month,mailed-check,Fiber,no,no,0,106.8,1,1
CUST000173,52,69.57,3169.92,month-to-month,bank-transfer,None,no,yes,0,105.2,1,1
CUST000174,50,77.08,3767.93,month-to-month,mailed-check,Fiber,no,yes,0,42.7,5,1
CUST000175,33,97.11,2858.17,month-to-month,credit-card,Fiber,no,yes,0,41.6,5,1
CUST000176,51,25.87,1181.0,month-to-month,credit-card,Fiber,no,no,0,,2,0
CUST000177,12,94.35,1138.8,two-year,electronic-check,Fiber,no,yes,1,69.6,0,0
CUST000178,64,70.21,4076.38,two-year,credit-card,Fiber,no,yes,0,77.5,1,0
CUST000179,36,64.91,2019.7,one-year,credit-card,Fiber,yes,yes,1,64.5,0,0
CUST000180,67,33.22,1908.1,one-year,bank-transfer,None,no,no,0,46.6,1,0
CUST000181,11,82.58,852.64,month-to-month,mailed-check,None,yes,no,0,88.5,3,1
CUST000182,36,20.0,700.87,one-year,credit-card,Fiber,no,yes,0,37.7,2,0
CUST000183,50,86.21,4412.99,month-to-month,mailed-check,DSL,no,yes,0,181.1,2,0
CUST000184,36,32.7,1026.71,two-year,electronic-check,Fiber,no,no,0,171.3,2,0
CUST000185,32,71.34,2030.24,two-year,electronic-check,Fiber,yes,yes,1,204.5,4,0
CUST000186,12,67.02,768.82,month-to-month,electronic-check,Fiber,no,no,0,72.4,2,1
CUST000187,28,99.24,2564.26,two-year,bank-transfer,None,yes,yes,0,50.5,0,0
CUST000188,17,65.53,1054.42,two-year,electronic-check,DSL,no,no,0,137.1,1,0
CUST000189,22,52.65,1198.64,month-to-month,bank-transfer,DSL,no,no,0,65.4,2,1
CUST000190,49,57.33,2693.93,two-year,mailed-check,None,no,no,0,102.6,2,0
CUST000191,45,101.82,4275.02,month-to-month,credit-card,None,yes,yes,0,102.2,1,0
CUST000192,44,83.41,3845.79,month-to-month,mailed-check,Fiber,no,yes,1,38.4,2,1
CUST000193,26,60.36,1354.43,month-to-month,credit-card,DSL,no,no,0,87.3,1,0
CUST000194,69,64.09,4583.28,one-year,credit-card,Fiber,no,no,0,99.6,1,0
CUST000195,7,30.82,205.02,month-to-month,electronic-check,Fiber,no,no,0,60.7,2,0
CUST000196,25,79.71,1894.61,two-year,bank-transfer,Fiber,no,no,1,24.5,0,0
CUST000197,9,26.0,242.05,month-to-month,electronic-check,DSL,yes,no,0,138.9,2,0
CUST000198,25,88.79,2112.01,month-to-month,credit-card,DSL,yes,no,0,178.8,2,1
CUST000199,69,73.22,4737.34,one-year,bank-transfer,Fiber,no,no,0,67.9,3,0
CUST000200,27,129.67,3166.73,month-to-month,electronic-check,Fiber,no,no,0,53.5,2,1
CUST000201,65,42.5,2712.12,one-year,electronic-check,Fiber,yes,yes,0,21.4,1,0
CUST000202,36,67.43,2339.92,month-to-month,mailed-check,Fiber,no,yes,1,70.2,1,1
CUST000203,50,114.96,5132.21,two-year,credit-card,DSL,no,no,0,48.3,2,0
CUST000204,33,99.78,3266.01,one-year,credit-card,Fiber,yes,yes,0,21.3,3,0
CUST000205,19,52.59,978.04,month-to-month,electronic-check,None,no,yes,0,107.6,0,0
CUST000206,55,75.6,3864.72,month-to-month,electronic-check,Fiber,no,yes,0,90.1,1,0
CUST000207,69,70.05,4112.69,month-to-month,mailed-check,Fiber,no,no,0,44.3,0,0
CUST000208,19,77.05,1375.11,two-year,bank-transfer,Fiber,yes,no,0,159.5,0,0
CUST000209,56,52.53,2503.99,one-year,electronic-check,None,no,yes,0,62.4,0,0
CUST000210,19,67.77,1113.8,month-to-month,electronic-check,Fiber,no,yes,0,68.7,3,1
CUST000211,51,30.05,1434.65,month-to-month,credit-card,Fiber,no,yes,0,57.1,0,0
CUST000212,57,73.38,3623.79,two-year,mailed-check,Fiber,no,yes,0,116.2,3,0
CUST000213,32,81.25,2353.35,month-to-month,bank-transfer,DSL,no,yes,0,,1,0
CUST000214,53,64.31,3344.0,one-year,mailed-check,Fiber,yes,yes,0,15.2,4,0
CUST000215,20,29.62,540.1,one-year,mailed-check,Fiber,no,no,0,65.2,0,1
CUST000216,6,94.71,596.41,month-to-month,bank-transfer,None,no,no,0,101.7,2,1
CUST000217,7,79.11,572.19,month-to-month,electronic-check,Fiber,yes,yes,1,,0,1
CUST000218,32,51.85,1604.55,month-to-month,electronic-check,DSL,yes,yes,0,101.1,0,0
CUST000219,65,62.98,4271.32,month-to-month,credit-card,Fiber,no,yes,0,89.4,0,1
CUST000220,10,32.48,332.47,two-year,credit-card,Fiber,no,yes,0,33.9,1,0
CUST000221,33,44.36,1337.66,one-year,bank-transfer,Fiber,yes,yes,0,55.9,3,0
CUST000222,50,56.55,2827.27,two-year,electronic-check,DSL,yes,no,0,26.9,0,0
CUST000223,15,100.71,1325.39,month-to-month,electronic-check,DSL,no,no,0,44.7,0,1
CUST000224,52,54.01,2771.76,month-to-month,electronic-check,Fiber,yes,no,0,55.3,0,0
CUST000225,22,86.01,1794.23,one-year,credit-card,Fiber,no,yes,0,94.1,1,0
CUST000226,58,56.54,2798.46,month-to-month,credit-card,None,no,no,1,,0,0
CUST000227,42,76.2,2895.87,month-to-month,bank-transfer,DSL,no,no,0,74.2,2,0
CUST000228,39,66.47,2698.81,month-to-month,credit-card,Fiber,no,yes,0,53.8,0,0
CUST000229,13,91.83,1090.13,one-year,electronic-check,DSL,no,no,0,99.2,2,0
CUST000230,33,56.63,,one-year,bank-transfer,Fiber,no,yes,0,68.9,1,1
CUST000231,61,30.69,1661.49,month-to-month,electronic-check,DSL,no,no,1,79.1,2,0
CUST000232,2,35.45,67.06,two-year,electronic-check,Fiber,no,yes,0,108.0,1,0
CUST000233,54,56.7,3118.53,month-to-month,credit-card,DSL,no,no,0,95.8,3,0
CUST000234,35,38.77,1359.12,month-to-month,credit-card,Fiber,no,yes,0,78.8,2,0
CUST000235,52,80.26,3912.13,month-to-month,electronic-check,DSL,no,no,0,88.1,1,1
CUST000236,48,58.36,2498.03,two-year,electronic-check,Fiber,no,no,0,44.2,0,0
CUST000237,31,129.37,3445.85,month-to-month,bank-transfer,DSL,yes,no,0,40.4,0,1
CUST000238,22,26.56,550.74,month-to-month,electronic-check,Fiber,no,no,1,177.5,0,1
CUST000239,45,75.09,3422.83,month-to-month,bank-transfer,Fiber,yes,yes,0,38.9,5,0
CUST000240,10,41.8,416.3,one-year,bank-transfer,DSL,no,no,0,108.7,4,1
CUST000241,42,57.66,2256.37,one-year,electronic-check,DSL,no,yes,1,53.3,2,0
CUST000242,7,73.54,498.79,month-to-month,electronic-check,DSL,yes,no,1,93.7,1,1
CUST000243,47,20.0,881.01,two-year,electronic-check,Fiber,no,yes,0,14.0,0,0
CUST000244,45,75.92,3299.57,month-to-month,credit-card,None,no,no,0,25.5,1,1
CUST000245,6,117.57,672.62,month-to-month,mailed-check,DSL,no,yes,1,112.3,1,1
CUST000246,54,58.66,3123.91,one-year,bank-transfer,Fiber,no,no,0,19.7,0,0
CUST000247,30,76.5,2183.79,one-year,electronic-check,Fiber,no,no,0,44.6,1,0
CUST000248,56,95.62,5558.85,month-to-month,bank-transfer,Fiber,no,yes,0,140.6,0,0
CUST000249,3,65.9,184.97,one-year,electronic-check,Fiber,no,no,1,105.1,0,1
CUST000250,13,55.48,615.35,month-to-month,electronic-check,None,no,yes,0,51.5,1,0
CUST000251,36,20.0,646.04,one-year,bank-transfer,Fiber,no,yes,0,39.0,1,0
CUST000252,14,86.02,1144.21,one-year,bank-transfer,Fiber,yes,yes,0,152.8,0,0
CUST000253,24,67.17,1544.56,two-year,electronic-check,DSL,no,no,0,41.3,0,0
CUST000254,47,44.68,2016.96,month-to-month,mailed-check,Fiber,no,no,0,77.2,0,0
CUST000255,11,73.16,799.05,one-year,credit-card,None,yes,no,0,133.7,2,0
CUST000256,49,55.41,2456.97,one-year,electronic-check,None,no,yes,0,85.1,1,0
CUST000257,8,56.79,446.59,month-to-month,electronic-check,DSL,no,yes,0,133.9,4,1
CUST000258,13,85.16,1096.9,month-to-month,mailed-check,Fiber,no,no,1,50.2,2,1
CUST000259,42,36.54,1430.71,two-year,electronic-check,DSL,yes,yes,0,31.7,1,0
CUST000260,57,96.18,5100.88,month-to-month,bank-transfer,Fiber,no,no,0,95.9,2,0
CUST000261,13,35.06,403.72,one-year,bank-transfer,DSL,no,no,0,125.5,0,0
CUST000262,22,53.43,1096.47,month-to-month,bank-transfer,Fiber,yes,yes,0,88.2,1,0
CUST000263,66,118.07,7850.0,two-year,bank-transfer,Fiber,no,yes,0,35.5,0,0
CUST000264,71,98.18,7192.41,month-to-month,mailed-check,DSL,no,no,0,221.0,1,1
CUST000265,42,72.44,2947.32,two-year,credit-card,DSL,yes,no,0,26.9,0,0
CUST000266,32,46.49,1353.6,one-year,electronic-check,DSL,no,no,0,72.4,1,0
CUST000267,25,56.77,1400.03,month-to-month,electronic-check,Fiber,yes,no,0,133.4,0,0
CUST000268,44,71.83,3154.29,one-year,bank-transfer,Fiber,no,yes,0,68.2,2,0
CUST000269,42,70.94,2730.52,one-year,electronic-check,Fiber,no,no,1,96.8,4,0
CUST000270,21,67.73,1444.11,month-to-month,electronic-check,Fiber,no,no,0,18.6,0,1
CUST000271,2,69.23,119.73,month-to-month,electronic-check,Fiber,no,no,1,94.6,1,1
CUST000272,11,64.64,605.91,one-year,bank-transfer,Fiber,no,no,0,34.1,0,1
CUST000273,69,33.95,2048.78,one-year,electronic-check,Fiber,yes,no,0,73.1,1,0
CUST000274,30,57.09,1509.23,month-to-month,bank-transfer,Fiber,no,yes,0,26.4,1,1
CUST000275,35,92.87,3334.27,two-year,credit-card,DSL,yes,yes,0,99.9,2,0
CUST000276,34,35.79,1137.76,month-to-month,bank-transfer,Fiber,no,no,1,87.4,4,1
CUST000277,56,65.26,3307.33,month-to-month,electronic-check,Fiber,yes,no,0,72.5,1,0
CUST000278,5,49.51,231.66,one-year,credit-card,Fiber,no,no,0,114.1,1,1
CUST000279,6,72.78,405.66,month-to-month,electronic-check,Fiber,no,no,0,92.6,3,1
CUST000280,20,60.28,1097.45,month-to-month,credit-card,DSL,yes,yes,0,25.8,2,1
CUST000281,35,106.93,3284.39,month-to-month,bank-transfer,Fiber,yes,no,0,112.3,1,1
CUST000282,48,82.66,3893.02,month-to-month,electronic-check,DSL,yes,no,0,93.5,1,1
CUST000283,35,37.2,1142.27,month-to-month,credit-card,None,yes,no,1,38.9,1,0
CUST000284,32,86.78,2791.08,one-year,bank-transfer,DSL,no,no,0,66.4,1,0
CUST000285,67,50.63,3020.21,month-to-month,mailed-check,Fiber,no,no,0,48.9,0,1
CUST000286,12,55.58,664.48,two-year,mailed-check,Fiber,no,no,0,190.7,0,1
CUST000287,41,77.85,3227.33,one-year,bank-transfer,DSL,yes,yes,0,31.3,2,0
CUST000288,39,57.71,1969.5,month-to-month,bank-transfer,Fiber,no,no,0,50.5,0,1
CUST000289,34,92.32,2722.5,month-to-month,credit-card,DSL,no,yes,0,63.5,1,1
CUST000290,58,50.64,3054.35,one-year,electronic-check,Fiber,no,yes,0,71.1,1,1
CUST000291,19,54.53,976.61,month-to-month,bank-transfer,None,yes,no,0,51.6,2,1
CUST000292,68,53.59,3556.83,month-to-month,bank-transfer,DSL,no,no,1,69.9,1,1
CUST000293,24,55.86,1145.78,two-year,bank-transfer,Fiber,yes,no,0,88.4,0,0
CUST000294,39,97.48,3443.38,one-year,mailed-check,None,no,yes,0,41.6,1,0
CUST000295,37,85.72,3016.48,one-year,mailed-check,Fiber,no,yes,1,51.6,3,0
