equipment_id,asset_type,manufacturer,plant_site,criticality,rated_power_kw,rated_rpm,operating_hours,runtime_since_overhaul_hours,last_maintenance_days_ago,maintenance_type_last,num_starts_30d,load_percent,ambient_temp_c,humidity_percent,vibration_rms_mm_s,vibration_peak_g,bearing_temp_c,motor_winding_temp_c,oil_temp_c,oil_pressure_bar,oil_particle_count_iso4406,suction_pressure_bar,discharge_pressure_bar,flow_rate_m3_h,current_draw_amps,power_factor,failure_within_30d
EQ-000067,pump,WEG,ROT-02,C,110,3000,40698,12246,441,none,8,97.3,30.2,83.4,3.76,1.04,64.8,78.5,62.5,3.69,41.0,1.56,7.39,67.2,205.3,0.892,0
EQ-000068,compressor,Sulzer,SIN-04,B,630,3600,62573,26250,489,preventive,42,74.5,28.8,48.6,6.08,1.65,60.1,74.5,53.9,3.71,56.0,1.57,9.76,378.2,884.3,0.842,1
EQ-000069,pump,KSB,HOU-01,B,75,3600,38545,30513,26,predictive,13,62.3,29.4,,3.58,1.09,57.1,65.9,51.6,3.86,46.0,2.52,11.53,68.5,85.6,0.873,0
EQ-000070,compressor,Flowserve,ANT-05,A,400,3000,16565,8174,425,preventive,46,81.8,35.1,76.9,4.67,1.47,66.3,75.0,60.8,3.39,31.0,1.96,12.59,229.8,620.1,0.901,0
EQ-000071,compressor,Siemens,ROT-02,B,110,1500,41329,11478,397,preventive,44,61.8,21.8,60.7,5.49,1.37,46.7,53.4,40.6,2.35,51.0,1.71,10.65,43.1,126.1,0.903,1
EQ-000072,motor,Atlas-Copco,ROT-02,B,160,1500,9634,8844,319,preventive,19,73.6,23.8,58.0,3.82,1.08,61.7,71.2,57.7,3.33,43.0,1.3,10.24,103.7,225.6,0.909,0
EQ-000073,pump,KSB,JUB-03,C,75,1800,75530,43762,90,preventive,13,79.3,30.8,65.9,5.02,1.45,70.3,73.5,63.2,3.03,56.0,0.87,10.77,34.9,107.7,0.909,0
EQ-000074,compressor,KSB,SIN-04,B,45,1800,55876,33173,108,preventive,46,79.8,24.4,22.5,4.95,1.52,63.6,72.4,58.9,3.79,39.0,1.97,7.62,10.5,70.8,0.911,0
EQ-000075,motor,Atlas-Copco,HOU-01,C,630,3000,59372,25364,71,preventive,15,82.2,33.9,56.5,2.88,0.62,61.8,71.7,59.1,3.09,37.0,1.84,5.48,407.4,988.5,0.881,0
EQ-000076,motor,KSB,ROT-02,B,250,1800,47699,23602,271,preventive,16,81.1,27.4,63.9,3.6,1.1,60.6,71.3,55.8,4.22,37.0,2.06,8.01,165.3,390.4,0.848,0
EQ-000077,motor,WEG,ANT-05,B,75,1500,17051,5858,463,preventive,12,84.8,26.5,66.4,2.97,1.02,57.2,65.0,52.4,3.69,48.0,2.13,11.46,62.2,127.2,0.947,0
EQ-000078,motor,Siemens,ROT-02,B,250,3600,1086,435,42,corrective,11,51.5,17.2,62.3,1.24,0.27,41.9,50.9,33.3,3.02,51.0,2.39,8.5,137.1,252.8,0.895,0
EQ-000079,pump,WEG,ROT-02,C,250,1500,15872,3214,331,corrective,8,71.5,33.1,37.9,3.25,0.9,67.1,79.7,63.1,4.04,51.0,1.18,8.43,140.7,342.7,0.903,0
EQ-000080,compressor,Siemens,SIN-04,B,110,1500,16927,7583,137,corrective,35,87.5,23.9,42.2,3.66,1.01,56.2,66.9,49.6,3.47,38.0,1.87,8.16,93.6,188.4,0.862,0
EQ-000081,compressor,Flowserve,ROT-02,C,250,1500,21256,9761,187,predictive,50,57.5,20.0,71.1,4.27,1.14,46.3,57.9,42.8,3.66,35.0,2.31,12.88,158.4,265.9,0.881,0
EQ-000082,motor,Siemens,ANT-05,B,75,3000,73837,59117,284,preventive,18,75.9,25.6,45.3,4.79,1.45,59.0,69.9,49.6,3.24,,2.11,7.84,73.8,100.4,0.867,0
EQ-000083,compressor,Atlas-Copco,JUB-03,A,630,3600,20349,13660,527,corrective,42,59.8,24.4,36.3,5.06,1.44,53.9,62.1,47.6,2.34,35.0,1.99,8.44,363.1,723.1,0.841,1
EQ-000084,motor,ABB,HOU-01,C,11,3000,11013,8983,344,preventive,14,78.5,16.6,52.4,3.02,0.75,49.4,63.3,42.4,4.57,39.0,2.25,8.99,5.0,12.3,0.845,0
EQ-000085,motor,KSB,JUB-03,C,400,1500,12709,9691,475,preventive,22,78.5,31.1,68.6,4.46,1.01,68.1,80.9,65.7,3.7,43.0,2.03,11.5,239.6,593.1,0.935,0
EQ-000086,pump,KSB,SIN-04,B,45,1800,55054,19065,136,preventive,13,76.3,33.0,59.0,4.14,1.25,69.4,81.7,64.0,4.09,50.0,1.48,11.13,5.0,64.4,0.92,0
EQ-000087,motor,Flowserve,ROT-02,B,160,1500,3807,3295,414,preventive,8,68.6,40.8,42.4,4.0,1.07,72.0,81.1,64.9,3.84,32.0,2.39,10.74,112.9,204.4,0.912,0
EQ-000088,motor,WEG,JUB-03,A,45,1500,56897,9278,193,preventive,12,62.4,36.8,50.8,2.79,0.91,65.0,70.3,65.0,2.92,47.0,1.93,8.31,39.5,54.1,0.854,0
EQ-000089,motor,WEG,ANT-05,B,250,1800,51399,31294,308,predictive,7,86.7,34.4,31.5,5.43,1.76,69.6,79.5,66.6,3.07,39.0,2.0,11.3,138.4,410.9,0.967,0
EQ-000090,motor,Siemens,ROT-02,B,250,3600,34105,29668,470,corrective,20,68.3,29.6,65.7,4.52,1.37,61.5,65.7,50.8,4.18,52.0,2.36,13.61,127.9,330.3,0.925,0
EQ-000091,motor,KSB,HOU-01,B,22,3000,35388,30834,122,predictive,16,74.5,34.9,52.1,4.14,1.3,70.5,73.9,70.5,,48.0,1.38,10.2,16.4,29.1,0.806,0
EQ-000092,pump,Flowserve,SIN-04,B,75,3000,1223,979,405,preventive,13,77.2,26.8,84.3,3.75,1.09,60.4,76.2,58.1,4.11,46.0,2.17,15.82,67.5,102.9,0.879,0
EQ-000093,motor,WEG,ROT-02,A,250,3600,2754,2105,366,preventive,15,61.4,26.3,35.6,2.28,0.62,54.5,63.2,44.2,3.29,34.0,2.05,12.67,168.4,295.5,0.949,0
EQ-000094,pump,ABB,HOU-01,A,75,1800,52287,35129,274,preventive,9,75.0,33.4,27.3,4.19,1.02,68.9,83.0,67.8,3.59,48.0,2.41,10.35,77.5,108.8,0.93,0
EQ-000095,motor,WEG,HOU-01,B,250,3000,45611,22159,36,preventive,10,82.2,29.7,64.5,3.01,0.82,62.6,79.5,50.0,3.36,49.0,1.85,8.41,135.6,390.2,0.831,0
EQ-000096,pump,Siemens,HOU-01,A,22,1800,45472,21936,395,none,10,77.8,25.7,61.7,3.94,1.11,56.7,70.7,47.5,3.27,57.0,1.63,10.29,9.0,32.7,0.915,0
EQ-000097,pump,Atlas-Copco,HOU-01,B,250,1800,71657,71430,127,preventive,12,69.9,41.2,56.8,7.44,1.93,79.2,82.2,66.0,3.54,44.0,1.31,9.03,164.0,329.7,0.88,0
EQ-000098,motor,ABB,HOU-01,A,45,1500,39798,7806,403,predictive,7,65.5,16.1,37.7,3.59,0.82,46.1,49.1,47.4,3.56,41.0,2.76,8.56,31.8,52.1,0.894,0
EQ-000099,pump,WEG,HOU-01,B,45,1500,27409,25805,67,predictive,12,69.9,27.5,28.8,3.36,0.84,61.0,71.3,58.8,3.8,42.0,1.76,9.93,13.0,48.6,0.818,0
EQ-000100,pump,Atlas-Copco,ANT-05,C,22,3000,30276,5116,262,preventive,9,63.1,30.6,48.7,3.5,0.89,61.0,69.9,59.1,3.22,32.0,1.77,7.59,5.0,29.4,0.907,0
EQ-000101,compressor,ABB,ROT-02,B,110,3000,73868,32192,236,corrective,31,86.0,34.6,46.6,4.82,1.38,71.1,83.3,65.1,4.15,54.0,2.09,13.37,71.6,181.9,0.957,0
EQ-000102,compressor,Flowserve,HOU-01,B,11,3000,73311,59038,128,predictive,39,80.0,32.3,54.7,5.68,1.79,67.2,76.7,67.6,4.57,52.0,1.78,13.39,5.0,10.4,,1
EQ-000103,pump,KSB,ANT-05,B,22,3000,32363,14999,428,preventive,15,91.6,30.0,38.7,3.15,0.9,66.7,83.9,53.8,3.69,33.0,1.93,13.37,25.8,42.4,0.9,0
EQ-000104,motor,WEG,JUB-03,A,630,1500,71173,34724,25,preventive,10,78.1,32.0,43.6,2.75,0.83,68.6,84.6,63.8,3.82,52.0,2.15,10.73,387.9,930.4,0.837,0
EQ-000105,pump,Sulzer,ANT-05,B,400,3000,55752,14155,31,predictive,10,79.3,21.4,45.4,2.76,0.75,50.7,58.0,43.7,3.22,43.0,2.43,8.47,247.8,602.4,0.824,0
EQ-000106,pump,KSB,ROT-02,A,630,3000,38760,15583,495,preventive,6,75.5,25.0,13.0,4.25,1.11,54.6,64.5,46.8,3.11,33.0,2.07,7.03,366.9,916.1,0.903,0
EQ-000107,compressor,Flowserve,JUB-03,C,630,1500,26954,25744,411,predictive,34,100.7,26.8,59.8,5.98,1.68,66.1,83.0,61.3,3.64,58.0,1.8,10.22,376.7,1197.9,0.898,1
EQ-000108,pump,Flowserve,HOU-01,B,160,1500,52941,29424,420,none,12,72.7,25.6,66.9,5.3,1.24,59.0,67.7,55.0,3.06,43.0,1.69,10.16,113.5,224.0,0.92,1
EQ-000109,pump,Sulzer,JUB-03,C,45,1500,36432,6678,228,none,14,77.8,34.3,65.6,3.64,0.98,69.1,79.6,61.5,3.37,,2.56,6.67,10.2,72.8,0.919,0
EQ-000110,pump,Flowserve,HOU-01,B,45,3000,22030,16436,36,preventive,12,87.2,33.7,44.3,3.84,1.05,66.4,83.7,59.0,2.77,51.0,1.86,11.37,19.6,73.1,0.826,0
EQ-000111,pump,Sulzer,HOU-01,B,75,3000,21083,9042,131,corrective,12,84.1,33.2,46.0,2.88,0.56,63.6,77.1,62.5,3.28,45.0,2.42,14.58,27.8,129.7,0.877,0
EQ-000112,pump,Sulzer,HOU-01,B,160,1500,50331,24711,133,preventive,20,86.0,31.1,39.2,3.89,1.14,67.1,78.2,58.1,2.72,57.0,1.4,12.03,88.7,260.0,0.78,0
EQ-000113,pump,KSB,HOU-01,B,11,3000,24872,2830,490,preventive,10,60.4,29.4,43.7,3.89,1.15,60.0,69.2,53.7,3.52,33.0,1.7,12.65,13.8,15.5,0.825,0
EQ-000114,compressor,Siemens,HOU-01,B,160,3000,10694,3075,437,predictive,39,63.1,32.6,38.6,6.07,1.56,65.6,72.3,64.4,2.53,53.0,2.02,13.67,116.6,186.8,0.857,0
EQ-000115,motor,KSB,HOU-01,B,11,3000,31116,19142,311,corrective,4,61.1,27.0,54.5,3.02,0.83,54.9,63.6,57.2,4.39,39.0,1.89,8.99,7.5,15.7,0.907,0
EQ-000116,pump,Atlas-Copco,HOU-01,C,22,3600,42816,25411,371,corrective,9,64.0,27.1,33.5,4.16,1.12,61.1,67.9,60.5,4.32,56.0,2.79,12.24,35.4,25.9,0.88,0
EQ-000117,pump,WEG,ROT-02,A,400,3600,62446,15693,465,corrective,11,72.7,29.0,57.6,4.12,0.95,62.8,67.4,61.8,3.72,53.0,2.15,8.02,235.0,555.9,0.928,1
EQ-000118,pump,Atlas-Copco,HOU-01,A,45,1800,81742,45024,59,corrective,14,74.2,27.1,38.2,3.51,0.69,59.3,67.8,56.4,3.33,39.0,2.19,10.07,12.2,63.0,0.864,0
EQ-000119,pump,Sulzer,ROT-02,C,45,1800,75049,22716,336,preventive,16,82.1,26.3,81.2,4.4,1.38,57.8,67.5,49.2,3.96,58.0,2.36,8.33,60.4,61.9,0.848,0
EQ-000120,motor,Siemens,HOU-01,A,45,1500,8393,6084,440,none,22,54.6,24.1,27.0,3.73,0.81,59.4,65.7,54.8,3.45,40.0,1.33,7.48,5.0,39.8,0.897,0
EQ-000121,motor,Siemens,HOU-01,A,75,1800,9396,5586,246,predictive,13,52.1,22.0,82.3,3.79,1.01,51.9,55.4,42.4,3.35,34.0,2.43,9.04,64.0,77.6,0.948,0
EQ-000122,motor,KSB,JUB-03,C,160,3000,38981,27379,519,preventive,16,94.8,24.9,59.3,5.01,1.36,66.0,73.2,58.0,2.5,44.0,2.11,6.56,85.8,285.0,0.844,0
EQ-000123,motor,ABB,JUB-03,A,110,1500,6199,4099,421,preventive,12,61.1,26.2,76.9,4.5,1.21,59.0,66.0,56.6,3.9,49.0,2.04,11.73,58.8,124.2,0.817,0
EQ-000124,pump,WEG,ROT-02,B,11,3600,40890,24464,430,corrective,15,86.7,25.8,65.2,4.67,1.3,64.8,82.8,64.3,2.42,55.0,1.61,9.06,31.1,9.3,0.89,1
EQ-000125,pump,Siemens,ANT-05,B,630,1500,77447,18892,56,preventive,14,87.0,23.9,67.4,2.23,0.6,54.7,64.7,54.3,3.69,,0.92,8.01,385.8,1029.7,0.976,0
EQ-000126,compressor,Atlas-Copco,JUB-03,B,630,3000,53048,11690,140,none,46,90.3,33.2,60.8,4.21,1.0,63.4,79.1,62.4,3.21,48.0,1.86,14.48,376.2,1084.6,0.901,0
EQ-000127,motor,WEG,SIN-04,B,400,3000,54576,32490,77,corrective,10,86.4,28.7,24.4,3.38,1.0,63.0,77.5,59.7,4.75,56.0,1.59,8.29,240.2,663.4,0.883,0
EQ-000128,pump,KSB,SIN-04,B,11,1500,16374,4870,178,none,15,74.6,33.8,57.4,4.11,1.36,69.5,81.8,62.1,4.08,30.0,2.35,11.58,13.8,19.2,0.851,0
EQ-000129,motor,Sulzer,SIN-04,B,400,1500,36797,18771,475,preventive,9,66.2,37.4,78.3,4.76,1.26,70.8,84.3,64.0,4.0,56.0,2.63,10.36,224.9,499.6,0.864,0
