batch_id,machine_id,shift,operator_experience_years,temperature_c,pressure_psi,humidity_percent,raw_material_grade,machine_age_months,maintenance_days_ago,batch_size,defect_rate_percent
B000045,M02,afternoon,5.0,19.7,83.7,60.9,A,24,108,862,4.91
B000046,M02,night,1.9,20.7,81.6,34.7,A,111,20,825,5.14
B000047,M12,afternoon,0.2,22.2,99.4,51.5,C,118,21,608,7.96
B000048,M03,night,2.5,16.0,99.2,53.7,B,100,29,680,7.76
B000049,M04,afternoon,2.5,21.4,98.6,48.5,B,29,99,568,5.1
B000050,M01,morning,3.4,27.1,114.6,48.3,B,163,24,864,6.07
B000051,M10,morning,4.1,21.6,103.6,24.2,C,157,49,309,7.4
B000052,M07,night,9.4,39.5,100.0,45.7,A,170,19,950,9.56
B000053,M08,night,12.8,22.5,116.2,44.9,A,4,58,535,2.43
B000054,M03,night,3.6,16.0,111.7,55.5,A,14,51,989,4.51
B000055,M07,afternoon,11.2,19.4,91.2,54.6,B,76,98,69,5.46
B000056,M07,afternoon,6.9,12.3,110.0,39.9,A,173,8,556,5.82
B000057,M11,morning,7.4,27.4,121.3,26.0,B,62,23,506,4.61
B000058,M09,afternoon,3.1,30.0,121.3,29.0,A,58,88,512,2.9
B000059,M08,afternoon,4.0,26.2,111.7,59.1,A,159,19,253,6.3
B000060,M09,morning,1.0,17.8,104.7,44.2,A,7,47,402,4.39
B000061,M10,afternoon,7.3,17.6,103.5,30.5,C,134,6,897,8.71
B000062,M03,morning,2.1,25.7,117.5,,B,101,74,169,6.14
B000063,M08,afternoon,6.0,19.4,83.9,47.3,A,48,64,308,4.47
B000064,M12,night,5.4,17.7,115.2,46.2,B,120,62,637,7.6
B000065,M09,night,4.3,17.1,101.6,61.6,A,61,83,535,6.11
B000066,M11,afternoon,7.7,31.3,88.9,44.2,C,150,39,995,9.92
B000067,M01,morning,3.0,19.7,85.8,48.9,A,114,111,52,5.8
B000068,M11,afternoon,3.6,26.2,79.5,44.6,A,2,114,303,5.3
B000069,M08,morning,6.9,24.7,106.8,53.2,A,174,92,755,3.42
B000070,M03,morning,9.4,17.8,123.1,62.6,C,136,108,198,9.5
B000071,M11,night,3.6,22.2,94.0,54.4,C,73,74,202,7.74
B000072,M11,morning,1.7,17.0,89.8,64.7,A,111,110,295,6.77
B000073,M08,afternoon,0.6,29.2,114.5,50.4,B,150,61,998,6.64
B000074,M12,afternoon,5.5,17.4,101.4,29.1,B,88,94,510,6.08
B000075,M10,night,2.6,23.8,115.1,36.8,A,129,54,328,6.84
B000076,M06,afternoon,4.6,19.5,88.3,53.2,A,147,87,848,6.76
B000077,M12,night,1.7,17.4,107.8,42.6,A,127,52,682,7.22
B000078,M06,afternoon,1.9,27.4,121.8,45.0,B,88,40,309,6.47
B000079,M02,morning,7.0,19.4,87.4,36.9,C,43,96,961,6.3
B000080,M02,morning,9.5,12.9,96.2,59.4,A,41,17,991,1.47
B000081,M09,morning,4.4,24.1,95.7,60.3,A,6,42,768,0.49
B000082,M02,afternoon,4.2,18.5,109.0,42.7,B,82,111,417,5.65
B000083,M11,morning,1.7,22.8,115.1,42.8,A,85,37,382,3.28
B000084,M12,night,2.7,26.3,91.8,57.8,A,66,67,324,6.49
B000085,M01,morning,6.7,23.8,130.0,55.5,A,110,107,924,6.08
B000086,M03,morning,2.3,26.4,100.7,28.7,A,56,110,124,3.11
B000087,M03,afternoon,4.2,15.5,93.2,51.8,A,86,104,252,5.74
B000088,M09,morning,2.9,28.0,117.1,50.0,C,139,23,215,8.15
B000089,M03,morning,3.3,20.5,101.7,46.9,B,69,88,652,2.87
B000090,M09,night,3.0,14.9,95.5,36.2,C,13,91,139,10.63
B000091,M11,morning,10.5,9.7,93.5,36.4,C,52,78,757,9.43
B000092,M08,afternoon,4.5,20.5,125.2,14.0,B,75,96,181,5.39
B000093,M12,afternoon,2.6,18.1,88.1,38.4,C,154,43,389,8.6
B000094,M06,morning,1.1,18.1,113.5,25.3,A,12,92,226,4.15
B000095,M11,morning,2.2,23.7,90.3,39.6,B,31,91,839,5.14
B000096,M10,afternoon,8.0,30.6,92.5,49.0,C,49,101,658,8.48
B000097,M06,night,4.0,17.5,99.0,33.3,B,1,94,498,5.51
B000098,M04,afternoon,5.2,22.5,105.6,58.3,B,164,69,939,5.13
B000099,M09,morning,13.1,19.2,80.3,64.6,B,20,60,868,4.29
B000100,M10,morning,0.8,17.1,93.5,47.4,A,115,70,592,6.23
B000101,M02,afternoon,6.3,16.9,112.3,51.1,A,80,46,253,2.87
B000102,M04,afternoon,9.6,30.2,112.3,28.8,A,152,117,158,6.15
B000103,M12,morning,2.0,22.1,96.5,46.8,A,101,14,900,1.39
B000104,M02,afternoon,4.7,21.0,85.9,30.9,B,159,112,723,5.67
B000105,M12,night,9.4,18.6,102.6,27.8,B,125,69,556,8.85
B000106,M02,night,0.9,22.3,110.0,32.3,C,148,33,139,8.77
B000107,M08,afternoon,1.3,18.8,102.2,43.5,B,101,62,457,6.69
B000108,M04,night,1.7,31.7,116.9,44.6,C,15,14,958,8.38
B000109,M02,morning,2.3,23.3,96.8,44.3,A,114,76,273,4.16
B000110,M03,morning,1.3,22.7,84.2,33.4,A,69,117,343,4.31
B000111,M12,afternoon,6.3,22.6,92.9,46.1,A,21,1,147,1.31
B000112,M04,afternoon,1.2,28.5,100.0,38.0,A,79,59,340,4.73
B000113,M11,night,8.0,21.9,91.6,46.3,B,79,74,326,6.51
B000114,M08,night,3.1,19.6,93.8,42.6,A,179,72,789,8.1
B000115,M12,afternoon,4.7,22.8,111.5,27.0,C,128,98,427,8.74
B000116,M06,morning,12.4,26.0,90.3,38.2,A,140,85,705,4.61
B000117,M07,morning,4.3,27.9,84.0,50.4,C,59,70,619,6.27
B000118,M01,afternoon,4.4,23.1,109.7,53.4,B,78,113,321,5.73
B000119,M05,afternoon,2.7,23.1,107.7,32.7,C,47,54,737,7.28
B000120,M08,afternoon,2.1,27.0,87.6,37.4,B,93,27,864,4.84
B000121,M05,morning,0.3,8.3,108.5,40.5,A,50,119,90,6.94
B000122,M03,afternoon,3.2,22.4,86.4,56.7,B,56,89,720,5.6
B000123,M06,morning,3.1,19.1,91.3,49.7,C,68,73,953,8.5
B000124,M12,afternoon,3.4,22.3,86.7,32.2,A,170,41,586,2.23
B000125,M11,morning,1.8,23.8,94.5,49.9,B,1,95,286,4.66
B000126,M05,night,7.0,28.2,106.8,57.7,A,156,10,135,5.16
B000127,M02,night,1.4,15.1,103.2,47.2,A,162,26,694,6.13
B000128,M01,afternoon,1.6,18.4,90.2,37.2,B,45,108,148,7.56
B000129,M08,morning,8.1,17.6,102.3,53.5,A,37,23,816,0.18
B000130,M09,afternoon,6.2,19.0,104.6,46.8,A,47,3,806,1.89
B000131,M11,morning,2.5,15.1,111.5,42.5,A,154,110,446,8.41
B000132,M07,morning,2.5,32.7,104.3,53.9,A,27,41,632,4.02
B000133,M04,afternoon,6.4,26.4,108.9,45.0,A,11,111,465,3.43
B000134,M01,morning,8.0,18.1,100.8,45.8,A,28,0,780,0.91
B000135,M07,night,3.2,22.1,90.2,53.6,A,50,15,95,4.9
B000136,M04,night,9.8,19.8,101.9,40.0,B,123,64,539,7.65
B000137,M10,night,2.9,22.8,114.6,33.4,A,98,115,437,6.23
B000138,M08,morning,11.1,18.2,115.2,48.3,A,88,54,483,4.73
B000139,M07,afternoon,3.1,14.4,69.0,60.6,A,26,87,940,5.15
B000140,M09,morning,9.5,19.1,107.5,22.3,A,136,0,528,0.0
B000141,M07,afternoon,4.6,28.9,94.1,52.3,A,177,35,400,5.35
B000142,M08,afternoon,9.6,14.6,104.8,45.3,A,69,61,710,6.01
B000143,M10,afternoon,0.6,27.5,83.6,39.7,A,101,26,902,3.97
B000144,M01,morning,2.0,24.8,94.8,38.5,B,54,23,819,5.16
B000145,M02,morning,9.1,20.0,80.8,54.0,A,145,78,715,2.75
B000146,M06,morning,12.7,25.8,94.8,51.8,A,104,29,918,1.14
B000147,M09,morning,3.5,23.0,107.3,34.6,C,50,11,890,6.86
B000148,M06,morning,2.6,11.3,105.3,48.0,A,56,24,249,4.81
B000149,M11,night,1.2,20.0,125.8,58.7,A,35,85,236,5.52
B000150,M12,morning,0.7,20.1,93.8,52.0,B,169,71,484,7.39
B000151,M02,morning,0.7,29.2,89.5,28.3,A,152,98,685,6.06
B000152,M08,night,4.1,20.0,116.6,51.5,B,77,5,937,3.87
B000153,M01,night,3.9,20.9,,32.5,B,40,61,144,5.71
B000154,M10,morning,1.4,16.2,102.3,47.2,C,36,112,882,8.78
B000155,M02,night,2.3,21.7,106.0,37.5,C,69,99,513,10.21
B000156,M02,morning,3.2,16.1,72.3,49.0,A,15,72,661,3.5
B000157,M09,afternoon,0.5,27.4,86.9,38.3,C,133,80,738,9.65
B000158,M05,night,4.7,19.9,83.6,34.5,A,16,9,252,4.49
B000159,M05,afternoon,5.2,16.0,110.0,48.1,B,42,69,203,4.38
B000160,M06,morning,6.2,28.1,92.3,46.2,B,72,11,377,3.91
B000161,M06,afternoon,5.8,15.5,96.9,53.2,A,118,51,960,4.71
B000162,M09,afternoon,3.6,23.3,80.6,39.7,A,77,38,742,3.29
B000163,M09,night,11.0,14.6,90.3,29.9,B,172,78,496,8.31
B000164,M12,morning,2.7,23.5,90.5,51.8,A,67,93,769,5.11
B000165,M07,morning,5.7,27.3,97.4,59.5,B,97,116,475,7.03
B000166,M11,afternoon,1.3,18.8,96.3,,C,86,116,136,9.15
B000167,M08,morning,1.4,16.1,117.6,49.9,A,49,14,891,1.96
B000168,M01,morning,5.4,16.3,108.3,41.9,A,110,4,837,2.35
B000169,M11,morning,1.7,21.7,78.7,64.3,A,169,20,867,2.69
B000170,M06,morning,5.3,31.6,112.2,39.7,A,35,96,635,5.72
B000171,M06,afternoon,5.5,27.3,110.6,44.5,A,165,79,920,6.08
B000172,M11,afternoon,11.8,27.9,100.8,24.8,A,149,72,959,5.52
B000173,M11,morning,1.3,16.7,111.8,60.7,B,112,118,686,6.19
B000174,M12,afternoon,1.1,27.5,114.4,39.7,B,132,56,777,6.49
B000175,M07,afternoon,4.3,26.9,94.2,58.0,A,135,59,678,5.58
B000176,M06,afternoon,9.0,23.5,85.4,38.3,B,62,84,402,5.69
B000177,M05,night,4.1,18.8,,44.2,B,135,47,268,5.55
B000178,M05,night,20.6,26.9,90.2,37.2,B,79,21,661,5.6
B000179,M04,morning,5.2,18.6,103.2,35.7,B,80,115,755,7.64
B000180,M04,night,5.0,25.3,87.5,42.1,A,165,116,776,8.76
B000181,M09,night,3.1,20.1,111.7,43.6,B,48,33,640,6.56
B000182,M04,morning,5.9,17.1,90.9,41.4,A,15,15,716,1.22
B000183,M08,night,8.8,20.0,97.5,29.8,A,12,39,375,2.21
B000184,M03,afternoon,4.6,31.8,96.7,47.8,A,73,46,66,4.8
B000185,M10,night,8.2,16.2,83.0,25.4,A,9,50,968,4.14
B000186,M06,afternoon,4.5,27.0,113.0,41.6,B,166,117,212,7.77
B000187,M07,night,1.2,26.2,115.4,29.2,B,10,62,511,6.68
B000188,M12,morning,0.9,21.1,98.3,54.0,A,142,95,911,6.77
B000189,M11,afternoon,6.7,19.2,90.9,57.3,C,43,6,737,6.63
B000190,M04,morning,4.7,15.8,97.2,50.9,A,131,19,922,3.91
B000191,M04,night,8.6,28.4,93.9,40.2,A,21,48,682,1.71
B000192,M07,morning,6.9,16.1,99.7,37.6,B,170,10,51,3.63
B000193,M09,morning,0.9,8.1,96.3,42.5,A,9,69,60,4.94
B000194,M12,night,2.8,23.5,89.1,44.5,C,64,28,809,8.58
B000195,M05,afternoon,1.8,15.2,,49.8,B,105,14,483,4.08
B000196,M07,afternoon,4.0,21.5,97.4,,A,114,14,551,3.02
B000197,M02,morning,3.7,15.3,123.2,24.6,A,61,55,626,4.87
B000198,M09,afternoon,0.8,19.1,101.3,51.6,A,9,39,575,2.7
B000199,M07,night,2.5,22.3,95.1,48.9,A,179,36,999,5.12
B000200,M08,night,2.5,23.4,96.6,37.2,B,156,37,86,5.35
B000201,M03,afternoon,5.6,28.7,95.6,35.3,A,120,13,196,4.7
B000202,M06,afternoon,3.9,22.0,98.7,45.6,B,60,14,132,2.59
B000203,M01,afternoon,2.2,22.5,102.7,46.8,A,169,109,697,8.0
B000204,M05,night,1.9,20.8,86.5,34.0,A,32,12,543,3.25
B000205,M05,afternoon,0.8,26.6,87.7,45.6,A,12,42,464,3.42
B000206,M06,afternoon,6.7,16.3,109.4,46.8,A,143,24,899,5.23
B000207,M12,afternoon,6.8,19.8,106.2,53.6,C,47,59,496,6.79
B000208,M08,morning,9.1,22.0,81.1,43.9,B,135,89,845,5.62
B000209,M11,night,2.4,17.5,106.3,24.7,C,140,62,200,10.04
B000210,M03,morning,11.0,29.0,110.1,47.5,B,25,92,370,4.14
B000211,M12,morning,6.8,23.6,103.0,28.1,A,111,19,553,1.67
B000212,M08,afternoon,7.4,15.9,80.2,36.5,A,81,74,860,3.94
B000213,M01,afternoon,3.0,24.0,84.0,31.5,B,65,67,93,7.01
B000214,M11,afternoon,2.8,28.6,99.4,49.9,A,84,2,468,2.51
B000215,M02,morning,6.2,18.4,122.6,34.1,B,151,29,443,5.86
B000216,M10,morning,9.3,28.8,93.5,55.0,C,24,62,790,6.71
B000217,M03,morning,11.1,23.3,107.3,33.4,A,90,72,435,2.01
B000218,M09,afternoon,10.0,23.0,92.3,24.9,C,130,24,356,7.64
B000219,M09,night,5.5,28.0,120.4,41.5,C,165,14,214,9.46
B000220,M02,night,1.3,23.0,100.5,31.7,A,100,17,756,3.93
B000221,M12,afternoon,7.2,24.0,85.4,58.2,B,98,95,997,6.82
B000222,M11,morning,1.9,22.5,90.2,38.2,A,33,11,779,1.11
B000223,M05,morning,13.6,13.2,89.2,56.5,A,106,103,726,5.3
B000224,M03,night,9.8,24.1,101.4,41.9,A,174,18,578,4.84
B000225,M08,afternoon,4.1,23.3,91.6,48.6,A,56,117,957,4.61
B000226,M10,morning,4.5,20.1,94.1,39.7,B,89,75,267,3.72
B000227,M02,morning,6.3,9.3,123.4,68.8,C,15,107,755,10.45
B000228,M02,afternoon,4.4,25.1,93.0,33.5,A,51,54,308,3.58
B000229,M08,afternoon,6.6,17.7,102.1,14.5,A,3,79,519,4.17
B000230,M04,night,4.1,16.4,96.7,47.6,B,158,41,168,7.68
B000231,M11,morning,2.8,15.9,99.4,34.8,B,52,17,632,5.07
B000232,M07,night,1.9,12.2,108.0,47.0,A,168,88,454,8.93
B000233,M08,night,2.9,24.3,73.6,44.3,C,153,10,209,10.18
B000234,M05,morning,4.8,33.8,101.8,39.7,B,30,50,790,4.46
B000235,M08,morning,1.8,19.1,95.5,40.9,A,61,9,195,1.45
B000236,M04,morning,7.9,26.1,102.1,49.1,B,80,61,740,6.48
B000237,M06,afternoon,4.8,21.5,97.6,41.4,A,150,100,512,6.36
B000238,M01,morning,3.4,23.4,97.7,43.5,A,173,21,971,5.67
B000239,M06,night,1.7,21.7,103.5,40.0,A,178,91,242,7.88
B000240,M10,night,8.4,25.9,,61.3,A,84,37,558,4.1
B000241,M05,night,10.7,16.0,123.6,58.1,C,78,26,781,10.33
B000242,M01,afternoon,0.3,22.5,88.5,30.3,A,26,108,451,2.42
B000243,M10,morning,4.5,27.7,117.3,45.0,C,78,28,332,8.22
B000244,M04,afternoon,9.5,25.5,85.1,36.9,B,34,69,353,1.63
B000245,M08,afternoon,6.3,23.6,96.8,32.5,B,153,11,132,6.1
B000246,M09,morning,0.9,22.5,103.7,13.0,B,65,17,883,2.41
B000247,M04,morning,3.2,20.2,88.8,41.7,A,101,116,606,4.8
B000248,M04,afternoon,1.5,20.2,88.0,42.5,A,41,51,482,2.18
B000249,M07,afternoon,1.8,14.2,96.6,58.6,A,149,30,577,5.97
B000250,M06,morning,4.2,24.5,110.7,55.5,B,134,105,72,6.59
B000251,M02,afternoon,5.8,28.8,101.0,49.9,C,126,101,298,11.65
B000252,M01,night,2.5,23.5,,52.4,A,152,29,127,4.99
B000253,M01,morning,3.9,22.1,106.8,53.5,A,68,91,172,2.61
B000254,M04,morning,5.8,25.0,94.5,49.9,C,171,32,896,7.6
B000255,M02,afternoon,1.0,11.4,67.7,58.8,A,116,96,647,8.46
B000256,M10,afternoon,1.7,19.5,81.4,32.3,A,18,35,89,3.48
B000257,M11,night,2.0,21.6,96.8,40.1,A,6,75,753,5.36
B000258,M10,afternoon,3.0,13.5,81.2,38.7,A,136,116,703,6.63
B000259,M04,morning,3.3,22.8,97.7,39.5,A,90,25,229,1.25
B000260,M05,morning,4.3,12.7,102.7,,B,168,25,357,7.84
B000261,M12,morning,2.5,25.5,96.5,61.3,A,17,26,758,0.67
B000262,M02,afternoon,6.1,23.1,96.7,54.0,B,127,57,352,5.29
B000263,M05,morning,2.7,21.0,123.5,57.2,B,99,112,672,5.76
B000264,M06,night,1.4,25.8,100.8,44.2,A,14,101,459,5.76
B000265,M05,afternoon,2.3,22.7,98.3,43.8,C,146,66,785,7.21
B000266,M12,afternoon,1.5,24.4,88.1,50.8,C,12,56,546,7.79
B000267,M10,morning,0.4,23.4,100.0,49.3,C,29,80,110,8.82
B000268,M12,morning,12.7,17.7,94.3,49.3,A,165,100,657,6.27
B000269,M03,afternoon,0.4,29.8,121.6,68.2,B,71,63,967,5.51
B000270,M01,morning,2.8,28.2,106.8,50.9,A,149,62,795,5.92
B000271,M11,afternoon,3.9,24.1,117.0,37.1,A,98,41,676,3.68
B000272,M02,afternoon,3.7,22.8,102.5,,A,86,110,154,5.04
B000273,M08,night,0.4,25.8,115.0,53.4,B,37,84,295,8.71
B000274,M11,afternoon,4.2,28.3,88.0,52.6,A,23,75,905,3.58
B000275,M01,morning,8.4,31.5,103.0,54.8,A,6,103,883,5.04
B000276,M08,morning,1.0,19.3,89.6,50.2,C,6,75,93,5.3
B000277,M12,night,4.1,27.2,94.7,34.6,B,1,28,601,4.86
B000278,M12,morning,4.2,21.6,100.5,60.4,C,171,83,830,10.03
B000279,M04,morning,3.4,14.0,88.5,58.4,A,46,19,202,2.8
B000280,M04,night,13.9,26.2,82.5,41.1,B,158,20,959,6.28
B000281,M03,morning,3.4,29.3,111.8,48.7,B,55,7,859,3.28
B000282,M08,afternoon,2.3,26.9,79.8,46.9,A,92,16,575,2.96
B000283,M11,morning,0.7,21.2,120.3,41.3,A,84,108,736,4.9
B000284,M11,afternoon,9.3,23.9,90.2,33.4,A,149,4,98,2.31
B000285,M04,morning,1.5,25.5,106.8,50.7,B,152,82,316,7.78
B000286,M07,night,4.6,24.9,107.5,30.1,A,22,107,164,6.64
B000287,M09,morning,10.0,28.2,86.7,39.0,A,75,85,566,4.68
B000288,M09,morning,5.4,26.7,105.5,62.1,C,158,29,815,5.72
B000289,M01,night,0.9,19.1,102.1,49.2,C,15,6,429,6.91
B000290,M11,afternoon,6.3,22.1,107.6,48.8,B,147,54,429,6.26
B000291,M12,afternoon,2.2,19.5,114.5,42.1,B,59,47,56,4.67
B000292,M08,afternoon,6.0,22.8,109.8,,B,126,90,195,5.96
B000293,M05,afternoon,12.6,12.7,89.6,49.1,B,55,6,503,4.62
B000294,M10,night,5.6,31.6,98.4,50.0,B,96,94,482,9.53
B000295,M03,afternoon,3.7,18.1,90.1,52.9,B,103,82,273,6.83
B000296,M03,afternoon,2.0,19.4,93.1,41.1,A,43,38,205,1.51
B000297,M12,morning,1.4,22.4,105.9,40.9,A,117,41,196,2.45
B000298,M05,afternoon,5.5,15.1,107.3,50.7,B,18,82,701,5.88
B000299,M09,night,9.6,20.3,,32.4,B,1,117,138,3.88
B000300,M05,morning,5.1,22.8,103.5,53.1,C,120,42,405,8.96
B000301,M10,morning,4.1,30.2,105.3,43.4,A,97,86,262,5.66
B000302,M10,morning,4.1,22.7,94.5,47.9,B,106,71,358,4.32
B000303,M07,afternoon,3.6,20.0,116.2,68.1,B,45,17,771,3.13
B000304,M05,night,8.8,16.4,108.0,,B,8,99,825,7.61
B000305,M09,afternoon,6.7,32.7,99.7,46.4,B,137,21,390,4.97
B000306,M03,night,10.7,22.4,113.5,45.3,C,52,10,834,4.64
B000307,M04,night,10.0,22.4,93.8,25.2,B,61,14,182,2.88
B000308,M01,night,15.4,15.1,101.4,51.1,C,157,46,774,9.92
B000309,M07,afternoon,7.6,24.6,110.7,21.6,A,164,29,211,5.8
B000310,M08,morning,6.8,19.1,85.4,52.6,A,65,54,335,4.04
B000311,M05,afternoon,3.7,29.4,126.7,38.1,B,72,116,669,7.17
B000312,M09,night,4.2,24.3,92.9,37.6,B,175,8,351,6.63
B000313,M06,afternoon,8.2,22.6,94.6,44.6,C,63,118,433,8.68
B000314,M03,afternoon,3.0,15.4,100.2,31.7,B,102,38,146,5.99
B000315,M01,afternoon,9.1,21.5,108.9,43.9,B,25,34,640,0.92
B000316,M11,morning,3.7,20.9,110.0,34.0,B,157,9,495,4.19
B000317,M10,afternoon,4.4,22.6,118.0,32.1,B,32,29,99,4.24
B000318,M06,afternoon,12.0,12.1,99.2,42.8,C,57,117,286,11.42
B000319,M03,night,6.9,17.5,104.0,57.2,A,121,30,742,5.52
B000320,M08,afternoon,4.5,19.5,81.5,52.2,C,155,96,395,10.83
B000321,M06,morning,14.2,24.5,87.2,39.6,C,103,60,964,7.63
B000322,M05,afternoon,2.5,12.3,98.9,43.4,C,153,4,914,8.7
B000323,M08,afternoon,2.1,28.9,104.3,39.6,A,99,57,797,3.85
B000324,M03,afternoon,1.9,28.2,99.4,33.1,C,86,10,905,8.79
B000325,M01,night,5.0,17.0,106.3,34.5,A,24,53,735,6.4
B000326,M02,afternoon,4.3,34.3,99.3,47.6,A,66,57,474,4.97
B000327,M05,afternoon,5.6,23.2,97.2,37.7,A,19,9,238,2.53
B000328,M10,afternoon,0.7,21.5,128.8,44.4,A,48,72,646,4.18
B000329,M04,afternoon,0.8,25.0,96.8,34.8,A,79,31,435,2.21
B000330,M12,night,2.0,24.1,112.1,52.9,C,169,95,970,11.66
B000331,M02,morning,5.0,22.6,84.3,51.4,B,171,54,197,4.8
B000332,M12,morning,3.0,16.6,101.5,60.6,B,104,104,540,7.29
B000333,M10,morning,1.5,19.8,91.9,58.6,C,76,25,773,7.13
B000334,M01,night,1.8,23.8,123.8,35.8,C,63,78,558,9.03
B000335,M07,night,7.1,26.2,93.3,36.4,C,162,74,755,9.35
B000336,M09,night,10.7,29.2,99.6,48.5,C,67,0,69,7.17
B000337,M06,morning,3.2,19.7,90.1,36.1,C,174,18,167,9.4
B000338,M12,night,1.5,22.4,89.4,47.4,A,82,34,92,3.12
B000339,M02,night,5.2,18.7,99.1,41.5,B,20,43,757,5.76
B000340,M07,morning,13.1,27.5,104.4,54.2,A,73,105,690,4.84
B000341,M07,afternoon,4.6,20.4,112.7,54.5,A,166,91,592,5.37
B000342,M08,night,4.9,19.1,93.1,41.9,A,70,24,450,3.17
B000343,M04,afternoon,3.8,22.3,92.9,26.7,A,130,70,981,5.1
B000344,M06,night,6.0,13.6,115.4,55.1,C,178,5,504,10.23
B000345,M02,afternoon,4.9,24.7,119.1,38.9,B,18,109,990,5.08
B000346,M02,morning,5.9,20.5,99.0,44.8,B,159,82,183,6.58
B000347,M07,morning,4.6,35.8,105.6,43.6,A,131,34,126,7.32
B000348,M09,morning,1.6,18.9,120.0,,A,118,80,826,6.41
B000349,M09,afternoon,2.4,20.7,131.8,38.8,C,89,1,844,7.0
B000350,M12,morning,1.0,27.1,105.0,33.8,A,123,31,662,0.91
B000351,M01,afternoon,6.5,25.9,109.0,46.5,B,26,60,202,4.19
B000352,M06,night,7.8,27.2,101.6,53.3,A,167,75,430,5.95
B000353,M01,morning,5.2,20.6,82.2,43.8,A,43,26,572,1.45
B000354,M05,morning,3.1,16.3,104.2,43.7,B,28,69,812,4.55
B000355,M09,night,4.2,35.3,116.5,33.1,B,127,14,529,7.68
B000356,M08,night,5.1,24.6,91.0,50.1,A,14,16,648,3.95
B000357,M03,night,5.0,23.1,77.7,50.9,B,58,2,310,3.77
B000358,M01,morning,7.0,26.0,107.1,43.9,A,44,91,73,3.55
B000359,M02,morning,2.5,15.5,78.9,35.3,B,171,70,736,7.5
